,custom_score,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/colset,config/et_bootstrap,config/et_bootstrap_2,config/et_bootstrap_3,config/et_max_depth,config/et_max_depth_2,config/et_max_depth_3,config/et_max_features,config/et_max_features_2,config/et_max_features_3,config/et_min_samples_leaf,config/et_min_samples_leaf_2,config/et_min_samples_leaf_3,config/et_min_samples_split,config/et_min_samples_split_2,config/et_min_samples_split_3,config/et_n_estimators,config/et_n_estimators_2,config/et_n_estimators_3,config/lr_C,config/lr_C_2,config/lr_C_3,config/lr_solver,config/lr_solver_2,config/lr_solver_3,config/svc_C,config/svc_C_2,config/svc_C_3,config/svc_kernel,config/svc_kernel_2,config/svc_kernel_3,config/weight_et,config/weight_lr,config/weight_svc,config/weight_xgb,config/xgb_alpha,config/xgb_alpha_2,config/xgb_alpha_3,config/xgb_colsample_bytree,config/xgb_colsample_bytree_2,config/xgb_colsample_bytree_3,config/xgb_eta,config/xgb_eta_2,config/xgb_eta_3,config/xgb_lambda,config/xgb_lambda_2,config/xgb_lambda_3,config/xgb_max_depth,config/xgb_max_depth_2,config/xgb_max_depth_3,config/xgb_min_child_weight,config/xgb_min_child_weight_2,config/xgb_min_child_weight_3,config/xgb_subsample,config/xgb_subsample_2,config/xgb_subsample_3,logdir
10,6550.0,1717354257,,False,1,c83ef866,2024-06-02_20-50-57,4.356585264205933,4.356585264205933,15620,DESKTOP-8J3QSBJ,127.0.0.1,4.356585264205933,1,"[100, 104, 102, 103, 105]",False,True,True,12,15,8,sqrt,sqrt,log2,12,29,28,14,21,12,85,102,186,4.3937991326622745,18.49729924060538,13.484107727261403,sag,sag,lbfgs,1.535940936790372,3.641083289560767,0.2821737858119682,linear,rbf,sigmoid,0.5474092880958112,0.13571049616286202,0.697966595388601,0.7170787290925512,0.03638512715555775,0.48465352558814495,1.3195926916611356,0.7885430121901775,0.6987950875020994,0.2797632326985549,0.025879731248846696,0.05196889324537124,0.615739728010263,0.05138804572145411,0.01877596764841038,0.7980953896645995,4,3,9,2,9,4,0.5011295728806442,0.6190850129183443,0.7100103636504433,c83ef866
11,6200.0,1717354259,,False,1,b50bf574,2024-06-02_20-50-59,3.9738082885742188,3.9738082885742188,48180,DESKTOP-8J3QSBJ,127.0.0.1,3.9738082885742188,1,"[100, 101, 102, 103, 104, 105]",False,True,False,19,24,28,sqrt,sqrt,sqrt,18,3,26,19,16,16,20,169,141,0.6775649416280731,7.160941218713525,1.988603301702776,liblinear,lbfgs,liblinear,2.6036019360638214,0.5483452656220834,0.7983304980965245,rbf,rbf,rbf,0.5262198080597414,0.5876744793641766,0.5777976118110358,0.06577966847354966,1.0260655163439383,0.148802485733499,0.8269397496955843,0.8805359380063669,0.6449768348821856,0.32047175950511675,0.03781851205426649,0.2956753188584418,0.5040358868022468,0.12965769034661323,0.08410626178070213,0.00857447738840963,7,5,19,5,6,5,0.8634769519097217,0.9702582125356296,0.4442694920440001,b50bf574
12,6750.0,1717354403,,False,1,7076e055,2024-06-02_20-53-23,4.550631046295166,4.550631046295166,54056,DESKTOP-8J3QSBJ,127.0.0.1,4.550631046295166,1,"[100, 101, 102, 103, 105]",True,False,True,36,18,33,log2,sqrt,log2,19,28,10,18,20,36,62,86,142,0.32272757542939634,0.3611500010385802,5.337381014559289,saga,sag,saga,1.0409573571690474,0.7274615669445308,2.283095566113221,sigmoid,rbf,poly,0.7953757139891215,0.33530302299447723,0.8879026358230355,0.7288182297332417,0.2588363309403423,0.7584996397620921,0.5445386924801754,0.6078246291871121,0.6301759496531223,0.35993547280772137,0.02594291183638679,0.5006518153388664,0.515171852865645,3.1492435809443906,0.31577641411217455,1.9175636972573618,10,3,19,1,10,1,0.8013957950278763,0.7961491568614871,0.131023898384729,7076e055
13,6550.0,1717354263,,False,1,097bd66a,2024-06-02_20-51-03,4.6735005378723145,4.6735005378723145,10164,DESKTOP-8J3QSBJ,127.0.0.1,4.6735005378723145,1,"[100, 101, 102, 103, 105]",True,False,True,24,19,37,sqrt,log2,sqrt,15,22,13,14,18,28,98,64,196,0.11397115469919164,0.2840858329391002,28.230984654663732,saga,saga,lbfgs,0.22716278299346876,2.0310068071773735,0.14283293134296698,rbf,poly,sigmoid,0.8349636334626396,0.47857454051149284,0.3592552626167993,0.16917466519848168,0.010040265355067659,0.025834358689589235,0.706855983623528,0.5478609759617463,0.8471051721603475,0.9337109392478595,0.027390266476508163,0.3279958957312071,0.5246836893298782,0.006208502585907499,2.841499544834476,0.0012513430765154205,4,3,11,2,9,3,0.7480469827818665,0.25121495985741077,0.9792449844261498,097bd66a
14,6800.0,1717354405,,False,1,12e23415,2024-06-02_20-53-25,4.92975926399231,4.92975926399231,17260,DESKTOP-8J3QSBJ,127.0.0.1,4.92975926399231,1,"[101, 102, 103, 105]",False,True,True,41,19,30,sqrt,sqrt,log2,17,17,23,11,9,23,71,91,155,2.059220368435865,0.2817858396079651,16.878072795292557,lbfgs,liblinear,sag,0.5203178732190965,0.10315073398430208,13.896136760820898,poly,poly,linear,0.9794392578489626,0.3065191841738115,0.40071733152579303,0.19742201807008375,0.01162200985198767,0.11617728324120381,0.008587166978209456,0.9035104729682949,0.7451933722818074,0.4955043285604216,0.0412625342061334,0.44225273677452565,0.8645036799002952,0.00262396032677456,0.00017909670636890877,0.06015967047125668,7,3,5,3,8,4,0.5140513772126041,0.9875222904610874,0.23119607630025038,12e23415
15,6400.0,1717354266,,False,1,c1ce0f59,2024-06-02_20-51-06,4.1345648765563965,4.1345648765563965,9112,DESKTOP-8J3QSBJ,127.0.0.1,4.1345648765563965,1,"[100, 104, 102, 103, 105]",True,True,False,18,22,9,sqrt,log2,log2,15,4,12,8,18,25,27,124,108,1.726626377135335,1.6984375969139798,0.3316573692740157,sag,newton-cg,saga,0.015964995668987177,2.5643277536032243,0.6769449392570415,rbf,sigmoid,rbf,0.11711620624347385,0.21469615565156408,0.18725592075837572,0.3888923236808238,0.670852973956583,0.00139345683226675,0.13662393148877255,0.6876666172074544,0.5040086176078074,0.4677571939365538,0.04499880758649991,0.05709453278366702,0.8208833400707537,0.427772356615599,1.3941966108752926,2.2476785286141663,7,5,2,1,10,4,0.7242548999505565,0.25047764839297004,0.9613412852933767,c1ce0f59
16,6600.0,1717354268,,False,1,dd134f4c,2024-06-02_20-51-08,4.011717796325684,4.011717796325684,63836,DESKTOP-8J3QSBJ,127.0.0.1,4.011717796325684,1,"[100, 101, 102, 105]",True,True,False,13,11,13,log2,sqrt,sqrt,7,25,17,8,15,27,39,168,110,1.776185890699159,0.16463452702300513,0.11531740544738696,newton-cg,sag,sag,1.0519572738783176,0.15884243277757282,0.11276512990126707,poly,poly,sigmoid,0.37278147611756673,0.1709685930558955,0.46526002003702416,0.12696892733481635,0.07604634486836119,0.0012585794093511083,1.5032921940360855,0.5888308051401137,0.9217798911730324,0.9629289968749244,0.020308544946331827,0.15467997142431314,0.7794368602732615,0.3445211215039021,0.001320873890837511,1.8395341319400993,4,4,10,1,6,1,0.9390436260384613,0.8648812447389727,0.9862663436491912,dd134f4c
17,6500.0,1717354272,,False,1,95bbe0ac,2024-06-02_20-51-12,6.024088382720947,6.024088382720947,30152,DESKTOP-8J3QSBJ,127.0.0.1,6.024088382720947,1,"[100, 101, 103, 105]",True,False,False,43,2,4,log2,log2,sqrt,9,28,27,17,13,28,96,18,187,0.2972551537976397,13.717291979650025,9.85120091566952,liblinear,newton-cg,lbfgs,0.13854757255098948,12.1728765588726,0.160590967788283,sigmoid,poly,rbf,0.43947802813546133,0.3451531534090093,0.3641988171705475,0.9466705006029315,1.7872773780736337,0.000394129457831244,0.001049243989909891,0.5526236067281121,0.6839994822613205,0.7871545861587506,0.022457178334892237,0.06798800916093688,0.5622190015388148,0.0541581917481809,0.00274352219655524,3.2941977190398597,5,4,16,3,3,4,0.5495510050017745,0.851630349107181,0.4144196242323465,95bbe0ac
18,6200.0,1717354272,,False,1,ddb6c7da,2024-06-02_20-51-12,4.774230480194092,4.774230480194092,9268,DESKTOP-8J3QSBJ,127.0.0.1,4.774230480194092,1,"[100, 101, 102, 103, 104, 105]",False,True,False,48,8,27,sqrt,sqrt,sqrt,1,11,8,5,11,22,75,53,52,0.23264873533719124,19.31164998825782,5.190378403568377,sag,newton-cg,lbfgs,0.3994675804761586,11.230012366715233,2.377841532113865,rbf,rbf,poly,0.2334489046985,0.7290946396806927,0.558826714479822,0.8429137031451226,0.007513808659751244,0.001752523750251899,0.00143290193488658,0.5987020484571708,0.8091870313600004,0.8581780264841556,0.025024321486744546,0.23668423373158345,0.8906740793158096,0.0074439309091237985,0.006024057528712979,2.931310213602514,4,2,20,3,4,4,0.9812834267285125,0.7464195331961374,0.45191558402608206,ddb6c7da
19,6450.0,1717354272,,False,1,d7bdb28e,2024-06-02_20-51-12,2.854184150695801,2.854184150695801,26168,DESKTOP-8J3QSBJ,127.0.0.1,2.854184150695801,1,"[102, 103, 105]",False,True,False,17,17,25,sqrt,log2,log2,13,9,20,12,6,14,11,38,168,2.5116713860516544,0.6579153403792912,1.7335752325928189,lbfgs,liblinear,lbfgs,0.22122647857524946,0.23049445746967726,0.10041450078330276,linear,poly,linear,0.010603351806246386,0.9334371575362872,0.5367305527095612,0.7501772957351777,0.017891642061762775,0.003234451413059014,0.009764355668947011,0.9294191755574203,0.515439573491678,0.22383497228017524,0.048365180911169495,0.5199262574496207,0.5325695226675969,0.04314307549048886,0.21057554080527116,0.004429994365456528,10,4,6,2,7,2,0.5452408078032801,0.6958431347346484,0.5026151690211491,d7bdb28e
