idx,ranking
248,3.0
149,3.0
272,3.0
279,3.0
312,3.0
99,3.0
348,3.0
374,3.0
385,3.0
435,3.0
49,3.0
362,3.0
205,2.0
51,2.0
494,2.0
390,2.0
343,2.0
483,2.0
278,2.0
302,2.0
91,2.0
437,2.0
353,2.0
331,2.0
141,1.0
