,custom_score,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/colset,config/et_bootstrap,config/et_max_depth,config/et_max_features,config/et_min_samples_leaf,config/et_min_samples_split,config/et_n_estimators,config/lr_C,config/lr_solver,config/svc_C,config/svc_kernel,config/weight_et,config/weight_lr,config/weight_svc,config/weight_xgb,config/xgb_alpha,config/xgb_colsample_bytree,config/xgb_eta,config/xgb_lambda,config/xgb_max_depth,config/xgb_min_child_weight,config/xgb_subsample,logdir
160,7000.0,1716982665,,False,1,f29af185,2024-05-29_13-37-45,1.8723597526550293,1.8723597526550293,51956,DESKTOP-8J3QSBJ,127.0.0.1,1.8723597526550293,1,"[101, 102, 103, 105]",True,19,log2,9,3,190,5.971692741408257,liblinear,0.10750816641281602,sigmoid,0.4938629330160462,0.28312882550756835,0.6130945113925066,0.6973438672430755,0.004944566319938224,0.835384490082882,0.026554215476070675,0.03017729867594477,4,4,0.6382022678740966,f29af185
161,6450.0,1716982666,,False,1,49f03ed5,2024-05-29_13-37-46,1.3755383491516113,1.3755383491516113,44136,DESKTOP-8J3QSBJ,127.0.0.1,1.3755383491516113,1,"[100, 104, 102, 103, 105]",False,11,log2,5,9,113,0.40102672731357203,lbfgs,0.9025659613044719,poly,0.3670085659086046,0.20451442286971822,0.6844401758970388,0.28521834868139057,2.661620241205507,0.877037859147456,0.020518672351373172,9.663601663206693,7,2,0.7065523257649291,49f03ed5
162,6000.0,1716982668,,False,1,4ecfb29a,2024-05-29_13-37-48,1.0935349464416504,1.0935349464416504,12840,DESKTOP-8J3QSBJ,127.0.0.1,1.0935349464416504,1,"[101, 103, 105]",False,4,sqrt,3,4,154,0.22730036769200043,saga,1.4811686451064778,linear,0.3848614647423231,0.9755033680083649,0.40268361352460325,0.6498563165151022,3.4803373786213943,0.8438814637435104,0.03976244067115891,6.940586653045353,9,5,0.6012120875398246,4ecfb29a
163,6650.0,1716982670,,False,1,bda3ed3b,2024-05-29_13-37-50,1.4641571044921875,1.4641571044921875,40768,DESKTOP-8J3QSBJ,127.0.0.1,1.4641571044921875,1,"[101, 102, 103, 105]",False,5,sqrt,8,10,187,0.13866460939127973,lbfgs,0.8819356634541238,sigmoid,0.021102372486403342,0.7403205300217334,0.17684579244733722,0.7800304530188896,0.0013406799455677023,0.6024981624485853,0.03802197215267104,4.3825388533586676,7,3,0.5010923044353908,bda3ed3b
164,6350.0,1716982672,,False,1,3a6bbe5c,2024-05-29_13-37-52,1.475095510482788,1.475095510482788,56112,DESKTOP-8J3QSBJ,127.0.0.1,1.475095510482788,1,"[100, 101, 102, 105]",False,8,sqrt,7,6,101,0.17885171536782726,liblinear,0.9584646948419904,sigmoid,0.08424004174741095,0.8800837369413993,0.590721475900149,0.43237026209923013,4.67519952998301,0.7439996077679281,0.03052047734129527,0.02616998495065591,9,1,0.5067259475005048,3a6bbe5c
165,6350.0,1716982674,,False,1,1e84f84e,2024-05-29_13-37-54,1.498002052307129,1.498002052307129,11108,DESKTOP-8J3QSBJ,127.0.0.1,1.498002052307129,1,"[100, 104, 102, 103, 105]",False,17,log2,3,5,157,1.313559235570178,lbfgs,2.0228413945029136,rbf,0.30345792677652317,0.8321889011169994,0.7699401875679097,0.31021576156033087,0.03081755531620814,0.9639816851624115,0.06868687497472743,0.1544509272084737,5,1,0.6619888209646757,1e84f84e
166,6650.0,1716982675,,False,1,1dae0dda,2024-05-29_13-37-55,0.9914898872375488,0.9914898872375488,47592,DESKTOP-8J3QSBJ,127.0.0.1,0.9914898872375488,1,"[101, 102, 103, 105]",False,20,sqrt,6,9,94,2.9533441064174264,lbfgs,0.6410650645982814,linear,0.2765504086199063,0.7893577481881991,0.14291071364035163,0.23903702072166946,0.03359150954832356,0.6832397167742381,0.014037371437704636,0.06333716107851399,4,2,0.7587590526715597,1dae0dda
167,6350.0,1716982678,,False,1,3b416758,2024-05-29_13-37-58,1.4790287017822266,1.4790287017822266,2224,DESKTOP-8J3QSBJ,127.0.0.1,1.4790287017822266,1,"[102, 103, 105]",False,14,sqrt,9,5,157,0.22031996995485925,newton-cg,0.2714572335533469,sigmoid,0.4595606594475965,0.4028874072921181,0.33877324477282533,0.5322215956718321,0.2521844905446849,0.5828248647418094,0.04531686580888088,5.542201211937642,5,1,0.6683885520806567,3b416758
168,6500.0,1716982680,,False,1,ec5ae297,2024-05-29_13-38-00,1.9220654964447021,1.9220654964447021,63820,DESKTOP-8J3QSBJ,127.0.0.1,1.9220654964447021,1,"[100, 101, 102, 103, 105]",True,13,sqrt,1,9,156,0.13309646105857884,sag,0.17442450009752056,sigmoid,0.1403886742068303,0.370410364403746,0.41860168337834824,0.40543493258892666,0.017990705333026574,0.7491548920631699,0.013020819386116711,0.029626634812824616,9,5,0.6589861948468556,ec5ae297
169,6950.0,1716982681,,False,1,0256ff27,2024-05-29_13-38-01,1.1990408897399902,1.1990408897399902,57308,DESKTOP-8J3QSBJ,127.0.0.1,1.1990408897399902,1,"[100, 101, 103, 105]",False,13,log2,3,3,130,0.3908201038387921,liblinear,0.4053545969694521,poly,0.40015403591149745,0.727194210482978,0.14177777722829443,0.03325268711992391,0.3167808027864155,0.8509759955185949,0.023870106544999447,0.0012221489281690535,6,4,0.6357497869123083,0256ff27
170,6950.0,1716982683,,False,1,f3136bfd,2024-05-29_13-38-03,0.9455115795135498,0.9455115795135498,55584,DESKTOP-8J3QSBJ,127.0.0.1,0.9455115795135498,1,"[101, 102, 103]",True,14,log2,7,5,163,0.8315982866118667,newton-cg,0.5370971044738896,linear,0.5411876346818614,0.2179319866934858,0.3227646822408422,0.20202355641389258,0.05763036650663362,0.9382685324047829,0.09702303479642535,2.6174946450952334,5,1,0.5393486409025738,f3136bfd
171,6700.0,1716982685,,False,1,487a862b,2024-05-29_13-38-05,1.4458274841308594,1.4458274841308594,32420,DESKTOP-8J3QSBJ,127.0.0.1,1.4458274841308594,1,"[101, 102, 105]",True,14,log2,5,6,118,2.3876052134194645,sag,2.2615922825721255,rbf,0.69984347429589,0.3545116119453505,0.10525736474669478,0.8680077017344349,0.018628642901622704,0.7212030776022424,0.0576162688529083,0.008751984423510469,8,1,0.8685591942800837,487a862b
172,6200.0,1716982687,,False,1,0640e0ea,2024-05-29_13-38-07,1.3612449169158936,1.3612449169158936,27316,DESKTOP-8J3QSBJ,127.0.0.1,1.3612449169158936,1,"[104, 102, 103, 105]",True,9,sqrt,6,2,168,0.1289761750837508,sag,6.778220163146007,sigmoid,0.33818438716335597,0.4265903903222644,0.08105032374655863,0.283184392927778,0.0013494434229326885,0.7255601438916475,0.057164180965957496,4.333650676005656,3,1,0.7748055138117707,0640e0ea
173,6450.0,1716982689,,False,1,75931f59,2024-05-29_13-38-09,1.6810271739959717,1.6810271739959717,56396,DESKTOP-8J3QSBJ,127.0.0.1,1.6810271739959717,1,"[100, 101, 102, 105]",False,5,sqrt,6,8,93,5.32810640382603,liblinear,5.955802030515419,linear,0.3711885984142341,0.5355278518525798,0.0884363575804793,0.1636379798995401,1.6844188900949275,0.888615120309233,0.015019822154796457,0.1743493403753612,3,4,0.5035465983331506,75931f59
