model,scoring_function,features,score,n_features
SVC(C=0.8),accuracy_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x191,x2,x423",0.55,48
RandomForestClassifier(),precision_calculate_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",4317.65306122449,48
RandomForestClassifier(),calculate_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",6550.0,48
RandomForestClassifier(),precision_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",0.6591836734693878,48
RandomForestClassifier(),accuracy_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",0.657,48
SVC(C=0.8),precision_calculate_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",695.5128205128206,48
SVC(C=0.8),calculate_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",1250.0,48
SVC(C=0.8),precision_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",0.5564102564102564,48
SVC(C=0.8),accuracy_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",0.545,48
RandomForestClassifier(),precision_calculate_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",4092.2222222222226,48
RandomForestClassifier(),calculate_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",6350.0,48
RandomForestClassifier(),precision_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",0.6444444444444445,48
RandomForestClassifier(),accuracy_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",0.644,48
SVC(C=0.8),precision_calculate_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",779.746835443038,48
SVC(C=0.8),calculate_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",1400.0,48
SVC(C=0.8),precision_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",0.5569620253164557,48
SVC(C=0.8),accuracy_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x105,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",0.546,48
RandomForestClassifier(),precision_calculate_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",3926.25250501002,48
RandomForestClassifier(),calculate_score,"x336,x253,x22,x3,x101,x229,x9,x1,x140,x324,x404,x99,x286,x8,x7,x104,x304,x329,x36,x132,x153,x5,x463,x81,x65,x103,x352,x413,x156,x106,x74,x149,x10,x4,x323,x6,x40,x58,x35,x322,x176,x499,x221,x459,x102,x191,x2,x423",6200.0,48
