max_depth,n_estimators,features,test_score,random_state,feature_selection_method,precision,f1,recall,accuracy
9,159,x103_x106_x101_x105,6600.0,4,Iterative,0.687793427230047,0.6335135135135135,0.5871743486973948,0.661
6,268,x103_x106_x102_x105,5900.0,0,Iterative,0.6590389016018307,0.6153846153846154,0.5771543086172345,0.64
6,268,x103_x106_x102_x105,6450.0,1,Iterative,0.6832151300236406,0.6268980477223427,0.5791583166332666,0.656
6,268,x103_x106_x102_x105,6250.0,2,Iterative,0.6482758620689655,0.6038543897216274,0.5651302605210421,0.63
6,268,x103_x106_x102_x105,6250.0,3,Iterative,0.658256880733945,0.613903743315508,0.5751503006012024,0.639
6,268,x103_x106_x102_x105,6550.0,4,Iterative,0.6808510638297872,0.6247288503253796,0.5771543086172345,0.654
7,177,x103_x101_x102_x105,6350.0,0,Iterative,0.6311300639658849,0.6115702479338843,0.593186372745491,0.624
7,177,x103_x101_x102_x105,6300.0,1,Iterative,0.6590389016018307,0.6153846153846154,0.5771543086172345,0.64
7,177,x103_x101_x102_x105,6350.0,2,Iterative,0.6495327102803738,0.5997842502696872,0.5571142284569138,0.629
7,177,x103_x101_x102_x105,6150.0,3,Iterative,0.6490066225165563,0.6176470588235294,0.5891783567134269,0.636
7,177,x103_x101_x102_x105,6650.0,4,Iterative,0.682648401826484,0.6382070437566703,0.5991983967935872,0.661
7,436,x106_x101_x102_x105,5950.0,0,Iterative,0.668903803131991,0.6321353065539113,0.5991983967935872,0.652
7,436,x106_x101_x102_x105,6350.0,1,Iterative,0.6522781774580336,0.5938864628820961,0.5450901803607214,0.628
7,436,x106_x101_x102_x105,6200.0,2,Iterative,0.6598639455782312,0.6191489361702127,0.5831663326653307,0.642
7,436,x106_x101_x102_x105,6400.0,3,Iterative,0.6783216783216783,0.6271551724137931,0.5831663326653307,0.654
7,436,x106_x101_x102_x105,6750.0,4,Iterative,0.6905311778290993,0.6416309012875536,0.5991983967935872,0.666
8,433,x105_x102_x103_x106_x101,5900.0,0,TreeMIF,0.6673640167364017,0.6530194472876152,0.6392785571142284,0.661
8,433,x105_x102_x103_x106_x101,6350.0,1,TreeMIF,0.6856492027334852,0.6417910447761194,0.6032064128256514,0.664
8,433,x105_x102_x103_x106_x101,6400.0,2,TreeMIF,0.6702355460385439,0.6480331262939959,0.627254509018036,0.66
8,433,x105_x102_x103_x106_x101,6100.0,3,TreeMIF,0.6577319587628866,0.6483739837398373,0.6392785571142284,0.654
8,433,x105_x102_x103_x106_x101,6500.0,4,TreeMIF,0.701098901098901,0.6687631027253669,0.6392785571142284,0.684
8,231,x102_x103_x106_x101_x104,6200.0,0,TreeMIF,0.676954732510288,0.6680203045685279,0.6593186372745491,0.673
8,231,x102_x103_x106_x101_x104,6400.0,1,TreeMIF,0.6816143497757847,0.6433862433862434,0.6092184368737475,0.663
8,231,x102_x103_x106_x101_x104,6200.0,2,TreeMIF,0.6812227074235808,0.6520376175548589,0.625250501002004,0.667
8,231,x102_x103_x106_x101_x104,6450.0,3,TreeMIF,0.6632443531827515,0.6551724137931034,0.6472945891783567,0.66
8,231,x102_x103_x106_x101_x104,6550.0,4,TreeMIF,0.693446088794926,0.6748971193415638,0.657314629258517,0.684
8,261,x102_x106_x101_x104,6150.0,0,TreeMIF,0.668859649122807,0.6387434554973822,0.6112224448897795,0.655
8,261,x102_x106_x101_x104,6200.0,1,TreeMIF,0.6666666666666666,0.6021978021978022,0.5490981963927856,0.638
8,261,x102_x106_x101_x104,6100.0,2,TreeMIF,0.6807511737089202,0.6270270270270271,0.5811623246492986,0.655
8,261,x102_x106_x101_x104,6400.0,3,TreeMIF,0.6875,0.6504751847940866,0.6172344689378757,0.669
8,261,x102_x106_x101_x104,6600.0,4,TreeMIF,0.6945701357466063,0.6524973432518597,0.6152304609218436,0.673
7,432,x102_x103_x106_x101,6350.0,0,TreeMIF,0.6673913043478261,0.6402502606882169,0.6152304609218436,0.655
7,432,x102_x103_x106_x101,6350.0,1,TreeMIF,0.6759259259259259,0.6272824919441461,0.5851703406813628,0.653
7,432,x102_x103_x106_x101,6200.0,2,TreeMIF,0.6796338672768879,0.6346153846153846,0.5951903807615231,0.658
7,432,x102_x103_x106_x101,6400.0,3,TreeMIF,0.6381578947368421,0.6094240837696335,0.5831663326653307,0.627
7,432,x102_x103_x106_x101,6400.0,4,TreeMIF,0.6856492027334852,0.6417910447761194,0.6032064128256514,0.664
4,333,x102_x106_x104,6100.0,0,TreeMIF,0.6533665835411472,0.5822222222222222,0.5250501002004008,0.624
4,333,x102_x106_x104,6400.0,1,TreeMIF,0.6532258064516129,0.5579793340987371,0.48697394789579157,0.615
4,333,x102_x106_x104,6600.0,2,TreeMIF,0.6616161616161617,0.5854748603351956,0.5250501002004008,0.629
4,333,x102_x106_x104,6450.0,3,TreeMIF,0.6812339331619537,0.5968468468468469,0.531062124248497,0.642
4,333,x102_x106_x104,6450.0,4,TreeMIF,0.6779661016949152,0.6140350877192983,0.561122244488978,0.648
7,310,x102_x103_x101_x104,6400.0,0,TreeMIF,0.6441717791411042,0.6376518218623481,0.6312625250501002,0.642
7,310,x102_x103_x101_x104,6350.0,1,TreeMIF,0.6610978520286396,0.6034858387799564,0.5551102204408818,0.636
7,310,x102_x103_x101_x104,6300.0,2,TreeMIF,0.6736111111111112,0.6251342642320086,0.5831663326653307,0.651
7,310,x102_x103_x101_x104,6550.0,3,TreeMIF,0.6709129511677282,0.6515463917525773,0.6332665330661322,0.662
7,310,x102_x103_x101_x104,6600.0,4,TreeMIF,0.6718061674008811,0.640083945435467,0.6112224448897795,0.657
9,453,x105_x9_x103_x101_x104,6400.0,0,TreeMIF,0.6617336152219874,0.6440329218106996,0.627254509018036,0.654
9,453,x105_x9_x103_x101_x104,5900.0,1,TreeMIF,0.6535796766743649,0.6072961373390557,0.5671342685370742,0.634
9,453,x105_x9_x103_x101_x104,6100.0,2,TreeMIF,0.6806167400881057,0.6484784889821616,0.6192384769539078,0.665
9,453,x105_x9_x103_x101_x104,6250.0,3,TreeMIF,0.6673596673596673,0.6551020408163265,0.6432865731462926,0.662
9,453,x105_x9_x103_x101_x104,6500.0,4,TreeMIF,0.7071428571428572,0.6463547334058759,0.5951903807615231,0.675
2,482,x423,5000.0,0,Genetic,0.5421455938697318,0.55435847208619,0.5671342685370742,0.545
2,482,x423,4700.0,1,Genetic,0.5054945054945055,0.5282296650717704,0.5531062124248497,0.507
2,482,x423,4600.0,2,Genetic,0.5027829313543599,0.5221579961464354,0.5430861723446894,0.504
