C,gamma,features,test_score,random_state,feature_selection_method,precision,f1,recall,accuracy
0.0050693194938617415,0.08167861125833123,x103_x106_x101_x102,6900.0,4,Iterative,0.0,0.0,0.0,0.501
0.02599511253662124,0.21496089293830178,x103_x106_x101_x105,6650.0,0,Iterative,0.6472795497185742,0.6686046511627907,0.6913827655310621,0.658
0.02599511253662124,0.21496089293830178,x103_x106_x101_x105,6100.0,1,Iterative,0.658051689860835,0.6606786427145709,0.6633266533066132,0.66
0.02599511253662124,0.21496089293830178,x103_x106_x101_x105,6750.0,2,Iterative,0.6567164179104478,0.6801932367149759,0.7054108216432866,0.669
0.02599511253662124,0.21496089293830178,x103_x106_x101_x105,6750.0,3,Iterative,0.6405959031657356,0.6640926640926641,0.6893787575150301,0.652
0.02599511253662124,0.21496089293830178,x103_x106_x101_x105,6850.0,4,Iterative,0.6576402321083172,0.6692913385826772,0.6813627254509018,0.664
0.16541171403429905,0.020700814930475604,x103_x106_x102_x105,6350.0,0,Iterative,0.72265625,0.4900662251655629,0.37074148296593185,0.615
0.16541171403429905,0.020700814930475604,x103_x106_x102_x105,6350.0,1,Iterative,0.7194244604316546,0.5148005148005148,0.40080160320641284,0.623
0.16541171403429905,0.020700814930475604,x103_x106_x102_x105,6450.0,2,Iterative,0.7075812274368231,0.5051546391752577,0.3927855711422846,0.616
0.16541171403429905,0.020700814930475604,x103_x106_x102_x105,6550.0,3,Iterative,0.7251908396946565,0.49934296977660975,0.3807615230460922,0.619
0.16541171403429905,0.020700814930475604,x103_x106_x102_x105,7150.0,4,Iterative,0.7639484978540773,0.48633879781420764,0.35671342685370744,0.624
2.6603954916245502,0.022713604738245338,x103_x101_x102_x105,6700.0,0,Iterative,0.6519607843137255,0.5865490628445424,0.533066132264529,0.625
2.6603954916245502,0.022713604738245338,x103_x101_x102_x105,6250.0,1,Iterative,0.6893939393939394,0.6100558659217877,0.5470941883767535,0.651
2.6603954916245502,0.022713604738245338,x103_x101_x102_x105,6650.0,2,Iterative,0.6885644768856448,0.621978021978022,0.5671342685370742,0.656
2.6603954916245502,0.022713604738245338,x103_x101_x102_x105,6450.0,3,Iterative,0.6723300970873787,0.6081229418221734,0.5551102204408818,0.643
