max_depth,n_estimators,features,test_score,random_state,feature_selection_method,precision,f1,recall,accuracy
2,203,x103_x106_x101_x105,6350.0,1,Iterative,0.6729857819905213,0.6167209554831705,0.5691382765531062,0.647
2,203,x103_x106_x101_x105,6650.0,2,Iterative,0.6629464285714286,0.6272439281942978,0.5951903807615231,0.647
2,203,x103_x106_x101_x105,6350.0,3,Iterative,0.6733780760626398,0.6363636363636364,0.6032064128256514,0.656
2,203,x103_x106_x101_x105,6450.0,4,Iterative,0.6981132075471698,0.6413867822318526,0.593186372745491,0.669
2,114,x103_x106_x102_x105,6600.0,0,Iterative,0.6613995485327314,0.6220806794055201,0.5871743486973948,0.644
2,114,x103_x106_x102_x105,6550.0,1,Iterative,0.6762114537444934,0.6442812172088143,0.6152304609218436,0.661
2,114,x103_x106_x102_x105,6550.0,2,Iterative,0.6517857142857143,0.6166842661034847,0.5851703406813628,0.637
2,114,x103_x106_x102_x105,6400.0,3,Iterative,0.6628175519630485,0.6158798283261803,0.5751503006012024,0.642
2,114,x103_x106_x102_x105,6750.0,4,Iterative,0.6823529411764706,0.6277056277056277,0.5811623246492986,0.656
2,412,x103_x101_x102_x105,6450.0,0,Iterative,0.6413502109704642,0.6248715313463515,0.6092184368737475,0.635
2,412,x103_x101_x102_x105,6050.0,1,Iterative,0.655328798185941,0.6148936170212767,0.5791583166332666,0.638
2,412,x103_x101_x102_x105,6200.0,2,Iterative,0.6503340757238307,0.6160337552742616,0.5851703406813628,0.636
2,412,x103_x101_x102_x105,6450.0,3,Iterative,0.6666666666666666,0.6431535269709544,0.6212424849699398,0.656
2,412,x103_x101_x102_x105,6550.0,4,Iterative,0.6469248291571754,0.605543710021322,0.5691382765531062,0.63
3,170,x106_x101_x102_x105,6300.0,0,Iterative,0.6590909090909091,0.617678381256656,0.5811623246492986,0.641
3,170,x106_x101_x102_x105,6350.0,1,Iterative,0.6542056074766355,0.6040992448759439,0.561122244488978,0.633
3,170,x106_x101_x102_x105,6350.0,2,Iterative,0.6532438478747203,0.6173361522198731,0.5851703406813628,0.638
3,170,x106_x101_x102_x105,6450.0,3,Iterative,0.6778523489932886,0.6405919661733616,0.6072144288577155,0.66
3,170,x106_x101_x102_x105,6700.0,4,Iterative,0.6812933025404158,0.6330472103004292,0.591182364729459,0.658
8,395,x105_x102_x103_x106_x101,6000.0,0,TreeMIF,0.6278118609406953,0.6214574898785425,0.6152304609218436,0.626
8,395,x105_x102_x103_x106_x101,5900.0,1,TreeMIF,0.6408602150537634,0.6182572614107884,0.5971943887775552,0.632
8,395,x105_x102_x103_x106_x101,6100.0,2,TreeMIF,0.654,0.6546546546546547,0.655310621242485,0.655
8,395,x105_x102_x103_x106_x101,6000.0,3,TreeMIF,0.6559356136820925,0.6546184738955824,0.6533066132264529,0.656
8,395,x105_x102_x103_x106_x101,6550.0,4,TreeMIF,0.6506276150627615,0.6366427840327533,0.6232464929859719,0.645
3,123,x102_x103_x106_x101_x104,6700.0,0,TreeMIF,0.6728395061728395,0.6639593908629442,0.655310621242485,0.669
3,123,x102_x103_x106_x101_x104,6600.0,1,TreeMIF,0.7017937219730942,0.6624338624338625,0.627254509018036,0.681
3,123,x102_x103_x106_x101_x104,6350.0,2,TreeMIF,0.680089485458613,0.642706131078224,0.6092184368737475,0.662
3,123,x102_x103_x106_x101_x104,6800.0,3,TreeMIF,0.694560669456067,0.6796315250767656,0.6653306613226453,0.687
3,123,x102_x103_x106_x101_x104,6600.0,4,TreeMIF,0.6986899563318777,0.6687565308254964,0.6412825651302605,0.683
2,247,x102_x106_x101_x104,6400.0,0,TreeMIF,0.6496815286624203,0.6309278350515464,0.6132264529058116,0.642
2,247,x102_x106_x101_x104,6250.0,1,TreeMIF,0.6470588235294118,0.6078639744952179,0.5731462925851704,0.631
2,247,x102_x106_x101_x104,6400.0,2,TreeMIF,0.6697038724373576,0.6268656716417911,0.5891783567134269,0.65
2,247,x102_x106_x101_x104,6600.0,3,TreeMIF,0.6837606837606838,0.6618407445708376,0.6412825651302605,0.673
2,247,x102_x106_x101_x104,6850.0,4,TreeMIF,0.6768558951965066,0.6478578892371996,0.6212424849699398,0.663
3,60,x102_x103_x106_x101,6500.0,0,TreeMIF,0.6572052401746725,0.6290491118077325,0.6032064128256514,0.645
3,60,x102_x103_x106_x101,6700.0,1,TreeMIF,0.6681514476614699,0.6329113924050633,0.6012024048096193,0.652
3,60,x102_x103_x106_x101,6600.0,2,TreeMIF,0.6737588652482269,0.6182212581344902,0.5711422845691383,0.648
3,60,x102_x103_x106_x101,6550.0,3,TreeMIF,0.658008658008658,0.6326742976066597,0.6092184368737475,0.647
3,60,x102_x103_x106_x101,6650.0,4,TreeMIF,0.6823266219239373,0.6448202959830867,0.6112224448897795,0.664
2,377,x102_x106_x104,6400.0,0,TreeMIF,0.6497695852534562,0.6045016077170418,0.5651302605210421,0.631
2,377,x102_x106_x104,6500.0,1,TreeMIF,0.6422018348623854,0.5989304812834224,0.561122244488978,0.625
2,377,x102_x106_x104,6450.0,2,TreeMIF,0.6155660377358491,0.5655471289274107,0.5230460921843687,0.599
2,377,x102_x106_x104,6650.0,3,TreeMIF,0.6450892857142857,0.6103484688489969,0.5791583166332666,0.631
2,377,x102_x106_x104,6550.0,4,TreeMIF,0.6572104018912529,0.6030368763557483,0.5571142284569138,0.634
3,449,x102_x103_x101_x104,6650.0,0,TreeMIF,0.6232179226069247,0.6181818181818182,0.6132264529058116,0.622
3,449,x102_x103_x101_x104,6350.0,1,TreeMIF,0.6355353075170843,0.5948827292110874,0.5591182364729459,0.62
3,449,x102_x103_x101_x104,6350.0,2,TreeMIF,0.6413043478260869,0.6152241918665277,0.591182364729459,0.631
3,449,x102_x103_x101_x104,6800.0,3,TreeMIF,0.6530612244897959,0.647118301314459,0.6412825651302605,0.651
3,449,x102_x103_x101_x104,6500.0,4,TreeMIF,0.66,0.6259220231822972,0.5951903807615231,0.645
2,469,x105_x9_x103_x101_x104,6500.0,0,TreeMIF,0.6449579831932774,0.6297435897435898,0.6152304609218436,0.639
2,469,x105_x9_x103_x101_x104,5950.0,1,TreeMIF,0.6658823529411765,0.6125541125541125,0.5671342685370742,0.642
2,469,x105_x9_x103_x101_x104,6300.0,2,TreeMIF,0.6673684210526316,0.6509240246406571,0.6352705410821643,0.66
2,469,x105_x9_x103_x101_x104,6300.0,3,TreeMIF,0.6645833333333333,0.651685393258427,0.6392785571142284,0.659
2,469,x105_x9_x103_x101_x104,6750.0,4,TreeMIF,0.6983758700696056,0.6473118279569893,0.6032064128256514,0.672
6,234,x423,4800.0,0,Genetic,0.49887640449438203,0.4703389830508475,0.44488977955911824,0.5
6,234,x423,4750.0,1,Genetic,0.5,0.506429277942631,0.5130260521042084,0.501
6,234,x423,4850.0,2,Genetic,0.4954627949183303,0.52,0.5470941883767535,0.496
6,234,x423,4600.0,3,Genetic,0.4959514170040486,0.49345417925478346,0.4909819639278557,0.497
6,234,x423,4550.0,4,Genetic,0.5102880658436214,0.5035532994923858,0.4969939879759519,0.511
9,299,x459,4500.0,0,Genetic,0.5111111111111111,0.5090543259557344,0.5070140280561122,0.512
9,299,x459,4350.0,1,Genetic,0.4875717017208413,0.49902152641878667,0.5110220440881763,0.488
9,299,x459,4800.0,2,Genetic,0.5093945720250522,0.49897750511247446,0.48897795591182364,0.51
9,299,x459,4350.0,3,Genetic,0.4646271510516252,0.4755381604696673,0.48697394789579157,0.464
9,299,x459,4650.0,4,Genetic,0.4876660341555977,0.5009746588693957,0.5150300601202404,0.488
9,265,x329_x352_x413,4900.0,0,Genetic,0.5174418604651163,0.5261083743842364,0.5350701402805611,0.519
9,265,x329_x352_x413,4500.0,1,Genetic,0.48406374501992033,0.4855144855144855,0.48697394789579157,0.485
9,265,x329_x352_x413,3800.0,2,Genetic,0.47410358565737054,0.4755244755244755,0.47695390781563124,0.475
9,265,x329_x352_x413,4400.0,3,Genetic,0.5170340681362725,0.5170340681362725,0.5170340681362725,0.518
9,265,x329_x352_x413,4600.0,4,Genetic,0.48490945674044267,0.4839357429718876,0.48296593186372744,0.486
10,50,x106_x140_x153_x156_x176_x22_x221_x253_x324_x329_x336_x352_x36_x404_x413_x459_x499_x58_x65_x81,1850.0,0,LassoSVC,0.5743801652892562,0.5656154628687691,0.5571142284569138,0.573
10,50,x106_x140_x153_x156_x176_x22_x221_x253_x324_x329_x336_x352_x36_x404_x413_x459_x499_x58_x65_x81,2600.0,1,LassoSVC,0.5714285714285714,0.5621181262729125,0.5531062124248497,0.57
10,50,x106_x140_x153_x156_x176_x22_x221_x253_x324_x329_x336_x352_x36_x404_x413_x459_x499_x58_x65_x81,2050.0,2,LassoSVC,0.54375,0.533197139938713,0.5230460921843687,0.543
10,50,x106_x140_x153_x156_x176_x22_x221_x253_x324_x329_x336_x352_x36_x404_x413_x459_x499_x58_x65_x81,2150.0,3,LassoSVC,0.5468409586056645,0.524008350730689,0.503006012024048,0.544
10,50,x106_x140_x153_x156_x176_x22_x221_x253_x324_x329_x336_x352_x36_x404_x413_x459_x499_x58_x65_x81,2300.0,4,LassoSVC,0.577922077922078,0.5556711758584808,0.5350701402805611,0.573
3,217,x1_x101_x102_x103_x104_x105_x106_x132_x140_x149_x153_x156_x176_x191_x22_x221_x229_x253_x286_x304_x322_x323_x324_x329_x336_x35_x352_x36_x40_x404_x413_x423_x459_x463_x499_x5_x58_x65_x74_x8_x81_x99,-750.0,0,LassoLR,0.6880165289256198,0.6775178026449644,0.6673346693386774,0.683
3,217,x1_x101_x102_x103_x104_x105_x106_x132_x140_x149_x153_x156_x176_x191_x22_x221_x229_x253_x286_x304_x322_x323_x324_x329_x336_x35_x352_x36_x40_x404_x413_x423_x459_x463_x499_x5_x58_x65_x74_x8_x81_x99,-1050.0,1,LassoLR,0.692144373673036,0.6721649484536083,0.6533066132264529,0.682
3,217,x1_x101_x102_x103_x104_x105_x106_x132_x140_x149_x153_x156_x176_x191_x22_x221_x229_x253_x286_x304_x322_x323_x324_x329_x336_x35_x352_x36_x40_x404_x413_x423_x459_x463_x499_x5_x58_x65_x74_x8_x81_x99,-700.0,2,LassoLR,0.6997929606625258,0.6883910386965377,0.6773547094188377,0.694
3,217,x1_x101_x102_x103_x104_x105_x106_x132_x140_x149_x153_x156_x176_x191_x22_x221_x229_x253_x286_x304_x322_x323_x324_x329_x336_x35_x352_x36_x40_x404_x413_x423_x459_x463_x499_x5_x58_x65_x74_x8_x81_x99,-800.0,3,LassoLR,0.6865979381443299,0.676829268292683,0.6673346693386774,0.682
3,217,x1_x101_x102_x103_x104_x105_x106_x132_x140_x149_x153_x156_x176_x191_x22_x221_x229_x253_x286_x304_x322_x323_x324_x329_x336_x35_x352_x36_x40_x404_x413_x423_x459_x463_x499_x5_x58_x65_x74_x8_x81_x99,-600.0,4,LassoLR,0.7081545064377682,0.6839378238341969,0.6613226452905812,0.695
2,426,x101_x102_x103_x104_x105_x106_x9,6050.0,0,Boruta,0.7085953878406709,0.6926229508196722,0.6773547094188377,0.7
2,426,x101_x102_x103_x104_x105_x106_x9,5850.0,1,Boruta,0.701098901098901,0.6687631027253669,0.6392785571142284,0.684
2,426,x101_x102_x103_x104_x105_x106_x9,6050.0,2,Boruta,0.6983122362869199,0.6803699897225077,0.6633266533066132,0.689
2,426,x101_x102_x103_x104_x105_x106_x9,6100.0,3,Boruta,0.7122153209109731,0.7006109979633401,0.6893787575150301,0.706
2,426,x101_x102_x103_x104_x105_x106_x9,6450.0,4,Boruta,0.7142857142857143,0.6867845993756504,0.6613226452905812,0.699
4,110,x106_x176_x413_x459,4950.0,0,Filters,0.5771028037383178,0.5329018338727076,0.49498997995991983,0.567
4,110,x106_x176_x413_x459,5050.0,1,Filters,0.5461165048543689,0.49396267837541163,0.45090180360721444,0.539
4,110,x106_x176_x413_x459,5100.0,2,Filters,0.5634743875278396,0.5337552742616034,0.5070140280561122,0.558
4,110,x106_x176_x413_x459,5200.0,3,Filters,0.573170731707317,0.517051705170517,0.4709418837675351,0.561
4,110,x106_x176_x413_x459,5900.0,4,Filters,0.5452488687782805,0.512221041445271,0.48296593186372744,0.541
