Model,hyperparameters,Features,Accuracy,Precision,Recall,Profit
qda,{},"[101, 100, 102]",0.653,0.6872037914691943,0.5742574257425742,6272.037914691943
nb,{'var_smoothing': 1e-09},"[101, 100, 102]",0.638,0.673469387755102,0.5301204819277109,6134.69387755102
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}","[9, 104]",0.585,0.631578947368421,0.4277227722772277,5915.78947368421
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[9, 104]",0.592,0.6085790884718498,0.4642126789366053,5685.790884718498
qda,{},"[9, 104]",0.563,0.5861182519280206,0.4523809523809524,5461.182519280206
nb,{'var_smoothing': 1e-09},"[9, 104]",0.572,0.5808080808080808,0.4674796747967479,5408.080808080807
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 6}","[104, 105]",0.593,0.6507936507936508,0.4083665338645418,6107.936507936508
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[104, 105]",0.609,0.6666666666666666,0.436,6266.666666666666
qda,{},"[104, 105]",0.607,0.6533333333333333,0.4822834645669291,6133.333333333333
nb,{'var_smoothing': 1e-09},"[104, 105]",0.588,0.6472222222222223,0.4498069498069498,6072.222222222223
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}","[101, 103, 104]",0.632,0.675531914893617,0.508,6155.31914893617
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[101, 103, 104]",0.619,0.6244444444444445,0.5699797160243407,5644.444444444444
qda,{},"[101, 103, 104]",0.62,0.6624685138539043,0.5166994106090373,6024.685138539043
nb,{'var_smoothing': 1e-09},"[101, 103, 104]",0.631,0.6470588235294118,0.5398773006134969,5870.588235294118
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2}","[100, 103, 102]",0.632,0.6503667481662592,0.5417515274949084,5903.667481662592
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[100, 103, 102]",0.62,0.6383442265795207,0.5779092702169625,5783.442265795207
qda,{},"[100, 103, 102]",0.619,0.6408977556109726,0.520242914979757,5808.977556109726
nb,{'var_smoothing': 1e-09},"[100, 103, 102]",0.633,0.6864197530864198,0.5366795366795367,6264.197530864198
rf,"{'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}","[102, 104]",0.607,0.6303030303030303,0.4342379958246347,5903.030303030302
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[102, 104]",0.586,0.6071428571428571,0.4491869918699187,5671.428571428571
qda,{},"[102, 104]",0.602,0.6324324324324324,0.4717741935483871,5924.324324324324
nb,{'var_smoothing': 1e-09},"[102, 104]",0.594,0.6481994459833795,0.4561403508771929,6081.994459833795
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}","[105, 101, 104]",0.606,0.6279620853080569,0.5278884462151394,5679.620853080569
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[105, 101, 104]",0.628,0.6931818181818182,0.4803149606299212,6331.818181818182
qda,{},"[105, 101, 104]",0.639,0.689922480620155,0.5255905511811023,6299.224806201551
nb,{'var_smoothing': 1e-09},"[105, 101, 104]",0.635,0.6618357487922706,0.5490981963927856,6018.357487922706
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}","[100, 103, 101]",0.63,0.6633663366336634,0.5338645418326693,6033.663366336634
svm,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","[100, 103, 101]",0.646,0.6733668341708543,0.5447154471544715,6133.668341708543
qda,{},"[100, 103, 101]",0.646,0.6722488038277512,0.5642570281124498,6122.488038277512
nb,{'var_smoothing': 1e-09},"[100, 103, 101]",0.631,0.6618004866180048,0.5418326693227091,6018.004866180048
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2}","[105, 2]",0.572,0.6108247422680413,0.4610894941634241,5708.2474226804125
svm,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","[105, 2]",0.589,0.6233062330623306,0.4581673306772908,5833.062330623306
qda,{},"[105, 2]",0.599,0.5967741935483871,0.4693446088794926,5567.741935483871
nb,{'var_smoothing': 1e-09},"[105, 2]",0.614,0.6256544502617801,0.495850622406639,5856.544502617801
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2}","[100, 101]",0.6,0.6473988439306358,0.446215139442231,6073.988439306359
svm,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","[100, 101]",0.589,0.6412776412776413,0.4961977186311787,6012.776412776413
qda,{},"[100, 101]",0.599,0.6201923076923077,0.5149700598802395,5801.923076923077
nb,{'var_smoothing': 1e-09},"[100, 101]",0.603,0.6150121065375302,0.516260162601626,5750.121065375302
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}","[102, 104]",0.577,0.611764705882353,0.4168336673346693,5717.64705882353
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[102, 104]",0.581,0.603988603988604,0.4308943089430894,5639.88603988604
qda,{},"[102, 104]",0.602,0.6324324324324324,0.4717741935483871,5924.324324324324
nb,{'var_smoothing': 1e-09},"[102, 104]",0.589,0.6037234042553191,0.4642126789366053,5637.234042553191
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}","[101, 2]",0.544,0.5504322766570605,0.3890020366598778,5104.322766570605
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[101, 2]",0.611,0.6351351351351351,0.4805725971370143,5951.351351351351
qda,{},"[101, 2]",0.586,0.6157894736842106,0.4661354581673306,5757.894736842106
nb,{'var_smoothing': 1e-09},"[101, 2]",0.591,0.6232686980609419,0.4518072289156626,5832.686980609419
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 6}","[101, 9, 105]",0.621,0.6592592592592592,0.5255905511811023,5992.592592592592
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[101, 9, 105]",0.595,0.6130536130536131,0.5239043824701195,5530.53613053613
qda,{},"[101, 9, 105]",0.613,0.6342105263157894,0.492842535787321,5742.105263157894
nb,{'var_smoothing': 1e-09},"[101, 9, 105]",0.612,0.6683937823834197,0.4980694980694981,6083.937823834197
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 6}","[104, 105]",0.6,0.6047120418848168,0.48125,5647.120418848168
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[104, 105]",0.602,0.6273458445040214,0.4746450304259635,5873.458445040214
qda,{},"[104, 105]",0.598,0.6030150753768844,0.4958677685950413,5630.150753768844
nb,{'var_smoothing': 1e-09},"[104, 105]",0.606,0.6430517711171662,0.4729458917835671,6030.517711171661
rf,"{'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}","[100, 104, 9]",0.612,0.6105990783410138,0.5475206611570248,5505.990783410138
svm,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}","[100, 104, 9]",0.603,0.6137339055793991,0.5685884691848907,5537.339055793991
qda,{},"[100, 104, 9]",0.626,0.6624685138539043,0.5228628230616302,6024.685138539043
nb,{'var_smoothing': 1e-09},"[100, 104, 9]",0.623,0.6536585365853659,0.532803180914513,5936.585365853659
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 6}","[100, 104, 103]",0.621,0.7162921348314607,0.4784240150093808,6562.921348314607
svm,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","[100, 104, 103]",0.615,0.659400544959128,0.4820717131474104,5994.00544959128
qda,{},"[100, 104, 103]",0.637,0.6716791979949874,0.536,6116.791979949874
nb,{'var_smoothing': 1e-09},"[100, 104, 103]",0.628,0.6442307692307693,0.5447154471544715,5842.307692307692
rf,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}","[100, 102]",0.617,0.6859504132231405,0.4806949806949807,6459.5041322314055
