feature_selector,feature_selector_params,classifier,classifier_params,n_features,accuracy,accuracy_std,accuracy_top_20pc,elapsed_time
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 0.5, 'max_depth': 10, 'tree_method': 'auto'}",1,0.553,0.004242640687119289,0.6233333333333334,5.1461531321207685
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 0.5, 'max_depth': 10, 'tree_method': 'hist'}",1,0.553,0.004242640687119289,0.6233333333333334,5.144528150558472
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 0.5, 'max_depth': 10, 'tree_method': 'approx'}",1,0.553,0.0021602468994692888,0.6266666666666666,12.51492428779602
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 1, 'max_depth': 2, 'tree_method': 'auto'}",1,0.5613333333333334,0.01438363267359424,0.6349999999999999,0.6440369288126627
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 1, 'max_depth': 2, 'tree_method': 'hist'}",1,0.5613333333333334,0.01438363267359424,0.6349999999999999,0.6288043657938639
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 1, 'max_depth': 2, 'tree_method': 'approx'}",1,0.5613333333333334,0.01438363267359424,0.6349999999999999,2.6380359331766763
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 1, 'max_depth': 6, 'tree_method': 'auto'}",1,0.5713333333333334,0.006236095644623242,0.6416666666666666,1.680699110031128
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 1, 'max_depth': 6, 'tree_method': 'hist'}",1,0.5713333333333334,0.006236095644623242,0.6416666666666666,1.627185344696045
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 1, 'max_depth': 6, 'tree_method': 'approx'}",1,0.5723333333333332,0.006798692684790386,0.645,4.244595845540364
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 1, 'max_depth': 10, 'tree_method': 'auto'}",1,0.5423333333333333,0.010842303978193739,0.6,4.501583735148112
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 1, 'max_depth': 10, 'tree_method': 'hist'}",1,0.5423333333333333,0.010842303978193739,0.6,4.504893064498901
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 1, 'max_depth': 10, 'tree_method': 'approx'}",1,0.553,0.0021602468994692888,0.6266666666666666,9.595840692520142
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 3, 'max_depth': 2, 'tree_method': 'auto'}",1,0.5613333333333334,0.01438363267359424,0.6349999999999999,0.5822786490122477
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 3, 'max_depth': 2, 'tree_method': 'hist'}",1,0.5613333333333334,0.01438363267359424,0.6349999999999999,0.5829807122548422
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 3, 'max_depth': 2, 'tree_method': 'approx'}",1,0.5613333333333334,0.01438363267359424,0.6349999999999999,2.518406709035238
SelectFromModel,{'threshold': -Infinity},XGBClassifier,"{'booster': 'gbtree', 'device': 'gpu', 'learning_rate': 0.001, 'n_estimators': 75, 'min_child_weight': 3, 'max_depth': 6, 'tree_method': 'auto'}",1,0.5713333333333334,0.006236095644623242,0.6416666666666666,1.5243676503499348
