,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__bootstrap,param_feature_selection__columns,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
49,9.893552684783936,0.25397936154581846,0.12910876274108887,0.0009530738442194743,800,10,2,log2,100.0,False,"[8, 100, 102, 105, 403]","{'model__n_estimators': 800, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 100, 'model__bootstrap': False, 'feature_selection__columns': [8, 100, 102, 105, 403]}",5500.0,6125.0,6250.0,5750.0,6562.5,6037.5,374.16573867739413,75
50,3.093650054931641,0.025581647140945973,0.0528043270111084,0.0004599990159282488,400,5,4,log2,100.0,True,"[8, 100, 102, 105, 403]","{'model__n_estimators': 400, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 100, 'model__bootstrap': True, 'feature_selection__columns': [8, 100, 102, 105, 403]}",6000.0,6375.0,6312.5,5937.5,6562.5,6237.5,235.18609652783474,43
51,16.542552995681763,0.41418746131469864,0.31196818351745603,0.022705102854404868,2000,5,1,log2,60.0,True,"[100, 102, 105, 403, 466]","{'model__n_estimators': 2000, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 60, 'model__bootstrap': True, 'feature_selection__columns': [100, 102, 105, 403, 466]}",5812.5,6250.0,6625.0,6437.5,6000.0,6225.0,292.08303613869805,46
52,4.983580255508423,0.07517429370222584,0.06009964942932129,0.00027732081710922957,400,5,1,log2,80.0,False,"[100, 102, 105, 403, 466]","{'model__n_estimators': 400, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 80, 'model__bootstrap': False, 'feature_selection__columns': [100, 102, 105, 403, 466]}",5437.5,5812.5,6187.5,6000.0,5625.0,5812.5,265.1650429449553,98
53,11.742072439193725,0.14872991214131584,0.12223396301269532,0.0014774859911351453,1000,10,2,log2,20.0,False,"[8, 100, 102, 105]","{'model__n_estimators': 1000, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 20, 'model__bootstrap': False, 'feature_selection__columns': [8, 100, 102, 105]}",5575.0,6387.5,6075.0,5637.5,6262.5,5987.5,327.3950213427199,83
54,17.081400394439697,0.4466232123277146,0.1599668025970459,0.003505048887267331,2000,10,2,sqrt,10.0,False,"[8, 100, 102, 105]","{'model__n_estimators': 2000, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 10, 'model__bootstrap': False, 'feature_selection__columns': [8, 100, 102, 105]}",5575.0,6575.0,6262.5,5575.0,6387.5,6075.0,420.1934078492903,67
55,1.3322784423828125,0.008441892016262598,0.024404001235961915,0.00013514169088579259,200,10,2,sqrt,20.0,False,"[100, 102, 105]","{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 20, 'model__bootstrap': False, 'feature_selection__columns': [100, 102, 105]}",5900.0,6337.5,6712.5,6025.0,6275.0,6250.0,281.1805469800498,42
56,9.34427375793457,0.08290371057177502,0.1524606704711914,0.0007066105771553952,1200,2,2,sqrt,20.0,True,"[100, 102, 105, 403, 466]","{'model__n_estimators': 1200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 20, 'model__bootstrap': True, 'feature_selection__columns': [100, 102, 105, 403, 466]}",5937.5,6250.0,6562.5,6500.0,6125.0,6275.0,232.51344047172842,34
57,5.626192617416382,0.028665393032682812,0.14752378463745117,0.002480144478839813,1200,2,4,log2,80.0,True,"[100, 102, 105]","{'model__n_estimators': 1200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 80, 'model__bootstrap': True, 'feature_selection__columns': [100, 102, 105]}",6150.0,6400.0,6837.5,6212.5,6712.5,6462.5,270.993542358485,7
58,1.4670689582824707,0.015961165557794327,0.03125572204589844,0.00022710507907526274,200,5,2,log2,100.0,False,"[100, 102, 105]","{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 100, 'model__bootstrap': False, 'feature_selection__columns': [100, 102, 105]}",5587.5,6025.0,6462.5,6275.0,6025.0,6075.0,294.2150573984955,67
