,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__kernel,param_model__gamma,param_model__C,param_feature_selection__columns,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
36,3.621935749053955,0.09970441697492592,0.050359678268432614,0.0056370833122916806,poly,0.1,100.0,"[100, 102, 105, 403, 466]","{'model__kernel': 'poly', 'model__gamma': 0.1, 'model__C': 100, 'feature_selection__columns': [100, 102, 105, 403, 466]}",4937.5,5312.5,4562.5,4875.0,5000.0,4937.5,240.44230077089182,52
37,9.620365715026855,1.1546057223069441,0.04716005325317383,0.001139059173726361,linear,0.0001,100.0,"[8, 100, 102, 105, 403]","{'model__kernel': 'linear', 'model__gamma': 0.0001, 'model__C': 100, 'feature_selection__columns': [8, 100, 102, 105, 403]}",4187.5,4937.5,4625.0,3437.5,4250.0,4287.5,504.0461288413988,78
38,1.568079662322998,0.012153398939316787,0.07912845611572265,0.0015401524460806756,rbf,0.1,10.0,"[100, 102, 105, 403, 466]","{'model__kernel': 'rbf', 'model__gamma': 0.1, 'model__C': 10, 'feature_selection__columns': [100, 102, 105, 403, 466]}",6062.5,6125.0,6687.5,6375.0,6750.0,6400.0,281.1805469800498,10
39,1.0368378639221192,0.01781942732893485,0.04768514633178711,0.0017591925107815348,linear,0.1,1.0,"[8, 100, 102, 105]","{'model__kernel': 'linear', 'model__gamma': 0.1, 'model__C': 1, 'feature_selection__columns': [8, 100, 102, 105]}",5262.5,5325.0,5387.5,5200.0,4762.5,5187.5,221.50056433336687,44
40,2.0115445613861085,0.0473664565101095,0.04733743667602539,0.0022156473976648818,linear,0.01,10.0,"[8, 100, 102, 105]","{'model__kernel': 'linear', 'model__gamma': 0.01, 'model__C': 10, 'feature_selection__columns': [8, 100, 102, 105]}",5262.5,5325.0,5387.5,5200.0,4762.5,5187.5,221.50056433336687,44
41,20.792911767959595,1.13089351805106,0.0503901481628418,0.0020513651903810784,poly,1.0,1.0,"[100, 102, 105, 403, 466]","{'model__kernel': 'poly', 'model__gamma': 1, 'model__C': 1, 'feature_selection__columns': [100, 102, 105, 403, 466]}",4937.5,5125.0,4937.5,4875.0,4750.0,4925.0,121.19199643540823,54
42,1.0153767585754394,0.003961325431924683,0.05067076683044434,0.0010084501613612678,poly,0.001,1.0,"[100, 102, 105]","{'model__kernel': 'poly', 'model__gamma': 0.001, 'model__C': 1, 'feature_selection__columns': [100, 102, 105]}",5587.5,5587.5,6462.5,5712.5,6087.5,5887.5,340.9545424246464,17
43,19.514208269119262,0.6174199217224753,0.04849815368652344,0.0013656420912758036,poly,1.0,1.0,"[8, 100, 102, 105, 403]","{'model__kernel': 'poly', 'model__gamma': 1, 'model__C': 1, 'feature_selection__columns': [8, 100, 102, 105, 403]}",4562.5,3875.0,4687.5,4875.0,4812.5,4562.5,360.12150727219836,64
44,0.9618781089782715,0.015555299116330969,0.047718048095703125,0.0011394003291170306,linear,0.0001,0.1,"[8, 100, 102, 105, 403]","{'model__kernel': 'linear', 'model__gamma': 0.0001, 'model__C': 0.1, 'feature_selection__columns': [8, 100, 102, 105, 403]}",4250.0,4875.0,4625.0,3437.5,4187.5,4275.0,488.3006246156153,84
45,1.8227109909057617,0.004987519068386627,0.08085422515869141,6.147379761261028e-05,sigmoid,0.0001,0.1,"[8, 100, 102, 105, 403]","{'model__kernel': 'sigmoid', 'model__gamma': 0.0001, 'model__C': 0.1, 'feature_selection__columns': [8, 100, 102, 105, 403]}",4375.0,4375.0,4312.5,3687.5,3687.5,4087.5,327.3950213427199,91
46,1.7930261611938476,0.00342457008692675,0.07866091728210449,0.00013893445787443258,sigmoid,0.001,0.1,"[8, 100, 102, 105]","{'model__kernel': 'sigmoid', 'model__gamma': 0.001, 'model__C': 0.1, 'feature_selection__columns': [8, 100, 102, 105]}",5075.0,5512.5,5700.0,5137.5,5012.5,5287.5,269.8379143115363,35
47,1.414027166366577,0.015201679465058357,0.08194408416748047,0.0014854891359197893,rbf,0.01,10.0,"[8, 100, 102, 105, 403]","{'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 10, 'feature_selection__columns': [8, 100, 102, 105, 403]}",6125.0,6687.5,7000.0,6250.0,6875.0,6587.5,343.693177121688,8
48,9.328885746002197,0.5425404235520114,0.04800543785095215,0.0024179287810781915,linear,1.0,100.0,"[100, 102, 105, 403, 466]","{'model__kernel': 'linear', 'model__gamma': 1, 'model__C': 100, 'feature_selection__columns': [100, 102, 105, 403, 466]}",4125.0,4812.5,4312.5,4562.5,4500.0,4462.5,232.51344047172842,75
49,0.9161057949066163,0.010459502883095287,0.0455625057220459,0.0013562197809639037,linear,0.1,0.1,"[100, 102, 105]","{'model__kernel': 'linear', 'model__gamma': 0.1, 'model__C': 0.1, 'feature_selection__columns': [100, 102, 105]}",5400.0,5525.0,5650.0,5337.5,4900.0,5362.5,254.95097567963924,29
50,1.8300865650177003,0.004345013967516393,0.0807037353515625,7.162040146422444e-05,sigmoid,0.001,0.1,"[100, 102, 105, 403, 466]","{'model__kernel': 'sigmoid', 'model__gamma': 0.001, 'model__C': 0.1, 'feature_selection__columns': [100, 102, 105, 403, 466]}",4000.0,3750.0,3562.5,3312.5,3750.0,3675.0,228.4458360312133,99
51,1.8784715175628661,0.022278283713322824,0.07930521965026856,0.0003554816505076199,sigmoid,0.01,1.0,"[8, 100, 102, 105, 403]","{'model__kernel': 'sigmoid', 'model__gamma': 0.01, 'model__C': 1, 'feature_selection__columns': [8, 100, 102, 105, 403]}",4250.0,5000.0,4437.5,3437.5,4187.5,4262.5,502.18273566501665,87
52,1.7842715740203858,0.06125421393683541,0.04492001533508301,0.0020716531398194617,linear,1.0,10.0,"[100, 102, 105]","{'model__kernel': 'linear', 'model__gamma': 1, 'model__C': 10, 'feature_selection__columns': [100, 102, 105]}",5400.0,5525.0,5525.0,5337.5,4900.0,5337.5,230.4886114323222,30
53,1.0084846019744873,0.007185334053535545,0.044221019744873045,0.0020502243277423513,linear,0.001,1.0,"[100, 102, 105]","{'model__kernel': 'linear', 'model__gamma': 0.001, 'model__C': 1, 'feature_selection__columns': [100, 102, 105]}",5400.0,5525.0,5525.0,5337.5,4900.0,5337.5,230.4886114323222,30
54,250.3515808582306,21.988473325529128,0.05046367645263672,0.0005099556830481269,poly,1.0,100.0,"[100, 102, 105]","{'model__kernel': 'poly', 'model__gamma': 1, 'model__C': 100, 'feature_selection__columns': [100, 102, 105]}",6150.0,5400.0,5900.0,5775.0,5900.0,5825.0,244.94897427831782,20
55,2.4616861820220945,0.03159800051557656,0.044907665252685545,0.0011955017046726079,linear,0.001,10.0,"[100, 102, 105, 403, 466]","{'model__kernel': 'linear', 'model__gamma': 0.001, 'model__C': 10, 'feature_selection__columns': [100, 102, 105, 403, 466]}",4125.0,4812.5,4375.0,4562.5,4500.0,4475.0,225.69337606584736,67
