model,data,score,fold
IWLS,ionosphere,0.8888888888888888,1
ADAM,ionosphere,0.7888888888888889,1
LDA,ionosphere,0.86,2
QDA,ionosphere,0.8600000000000001,2
tree,ionosphere,0.8533333333333333,2
forest,ionosphere,0.96,2
SGD,ionosphere,0.8577777777777778,2
IWLS,ionosphere,0.8777777777777778,2
ADAM,ionosphere,0.88,2
LDA,ionosphere,0.8088888888888889,3
QDA,ionosphere,0.8844444444444444,3
tree,ionosphere,0.8777777777777778,3
forest,ionosphere,0.9088888888888889,3
SGD,ionosphere,0.7177777777777778,3
IWLS,ionosphere,0.7977777777777778,3
ADAM,ionosphere,0.7666666666666666,3
LDA,ionosphere,0.7777777777777778,4
QDA,ionosphere,0.8711111111111112,4
tree,ionosphere,0.8644444444444443,4
forest,ionosphere,0.8844444444444444,4
SGD,ionosphere,0.8577777777777778,4
IWLS,ionosphere,0.8377777777777777,4
ADAM,ionosphere,0.9288888888888889,4
LDA,kr-vs-kp,0.9381922429650502,0
QDA,kr-vs-kp,0.5198818050174161,0
tree,kr-vs-kp,0.9934640522875817,0
forest,kr-vs-kp,0.9873390473954052,0
SGD,kr-vs-kp,0.9345133262885993,0
IWLS,kr-vs-kp,0.9531720871981527,0
ADAM,kr-vs-kp,0.9470470823059762,0
LDA,kr-vs-kp,0.943118680671444,1
QDA,kr-vs-kp,0.5327868852459017,1
tree,kr-vs-kp,0.9967213114754099,1
forest,kr-vs-kp,0.9871699224501815,1
SGD,kr-vs-kp,0.5,1
IWLS,kr-vs-kp,0.9622214587219005,1
ADAM,kr-vs-kp,0.9513154019829194,1
LDA,kr-vs-kp,0.9383429861588299,2
QDA,kr-vs-kp,0.5311475409836066,2
tree,kr-vs-kp,0.9920879552370668,2
forest,kr-vs-kp,0.9934426229508198,2
SGD,kr-vs-kp,0.9543094139589673,2
IWLS,kr-vs-kp,0.9692058505938942,2
ADAM,kr-vs-kp,0.9592274467458526,2
LDA,kr-vs-kp,0.9463973691960341,3
QDA,kr-vs-kp,0.5229508196721312,3
tree,kr-vs-kp,0.996863649749681,3
forest,kr-vs-kp,0.9983606557377049,3
SGD,kr-vs-kp,0.9645724943555511,3
IWLS,kr-vs-kp,0.9720575242956709,3
ADAM,kr-vs-kp,0.9641454795327378,3
LDA,kr-vs-kp,0.9258523229111464,4
QDA,kr-vs-kp,0.596537714184773,4
tree,kr-vs-kp,0.9873255608549726,4
forest,kr-vs-kp,0.9874580462815757,4
SGD,kr-vs-kp,0.90244656421127,4
IWLS,kr-vs-kp,0.9596361066949302,4
ADAM,kr-vs-kp,0.953232644409115,4
