num_features,columns,accuracy,metric,C,kernel,degree,gamma
3,"[100, 102, 105]",0.625,6750,1.0,rbf,3,scale
5,"[100, 102, 103, 104, 105]",0.617,6750,10.0,poly,3,auto
5,"[100, 102, 103, 104, 105]",0.653,6750,0.1,poly,3,auto
5,"[100, 102, 103, 104, 105]",0.574,6750,1.0,poly,5,scale
5,"[100, 102, 103, 104, 105]",0.658,6750,1.0,poly,2,scale
3,"[100, 102, 105]",0.491,6750,0.001,sigmoid,3,auto
4,"[100, 102, 103, 105]",0.653,6750,1.0,rbf,3,auto
4,"[100, 102, 103, 105]",0.605,6700,1.0,poly,4,scale
2,"[100, 102]",0.572,6700,0.001,poly,3,scale
2,"[100, 102]",0.566,6700,0.001,poly,4,scale
4,"[100, 102, 103, 105]",0.587,6700,1.0,poly,4,auto
2,"[100, 102]",0.571,6650,0.001,poly,4,auto
2,"[100, 102]",0.586,6650,0.001,poly,2,auto
4,"[100, 102, 103, 105]",0.55,6650,0.1,poly,5,auto
2,"[100, 102]",0.579,6650,0.001,linear,3,auto
2,"[100, 102]",0.583,6650,0.1,poly,4,auto
2,"[100, 102]",0.582,6650,0.01,poly,3,scale
2,"[100, 102]",0.571,6650,0.001,poly,5,auto
3,"[100, 102, 105]",0.62,6650,1.0,rbf,3,auto
5,"[100, 102, 103, 104, 105]",0.648,6650,10.0,rbf,3,auto
2,"[100, 102]",0.58,6650,0.1,poly,4,scale
2,"[100, 102]",0.584,6650,0.1,poly,3,scale
2,"[100, 102]",0.584,6650,0.1,poly,3,auto
2,"[100, 102]",0.579,6650,0.001,linear,3,scale
3,"[100, 102, 105]",0.579,6600,1.0,poly,4,scale
5,"[100, 102, 103, 104, 105]",0.591,6600,1.0,poly,4,auto
4,"[100, 102, 103, 105]",0.545,6600,1.0,poly,5,scale
2,"[100, 102]",0.57,6600,1.0,poly,3,auto
2,"[100, 102]",0.583,6600,0.1,poly,2,scale
2,"[100, 102]",0.581,6600,0.1,linear,3,scale
2,"[100, 102]",0.585,6600,0.1,poly,5,scale
2,"[100, 102]",0.582,6600,0.1,rbf,3,scale
2,"[100, 102]",0.579,6600,0.1,rbf,3,auto
2,"[100, 102]",0.579,6600,0.01,poly,5,auto
2,"[100, 102]",0.571,6600,0.01,poly,5,scale
2,"[100, 102]",0.58,6600,1.0,linear,3,scale
2,"[100, 102]",0.58,6600,1.0,linear,3,auto
2,"[100, 102]",0.59,6600,0.01,poly,3,auto
2,"[100, 102]",0.581,6600,0.1,linear,3,auto
2,"[100, 102]",0.58,6600,10.0,linear,3,auto
2,"[100, 102]",0.58,6600,10.0,linear,3,scale
2,"[100, 102]",0.491,6600,0.001,rbf,3,auto
2,"[100, 102]",0.491,6600,0.001,rbf,3,scale
2,"[100, 102]",0.582,6600,1.0,poly,3,scale
2,"[100, 102]",0.571,6550,10.0,poly,3,scale
2,"[100, 102]",0.571,6550,10.0,poly,2,auto
5,"[100, 102, 103, 104, 105]",0.558,6550,10.0,poly,4,auto
2,"[100, 102]",0.572,6550,10.0,poly,2,scale
2,"[100, 102]",0.574,6550,1.0,poly,2,scale
2,"[100, 102]",0.573,6550,1.0,poly,2,auto
2,"[100, 102]",0.575,6550,0.1,poly,2,auto
5,"[100, 102, 103, 104, 105]",0.576,6550,10.0,poly,4,scale
2,"[100, 102]",0.586,6550,0.001,poly,2,scale
2,"[100, 102]",0.583,6550,0.01,rbf,3,scale
2,"[100, 102]",0.578,6550,0.01,linear,3,auto
2,"[100, 102]",0.583,6550,0.01,rbf,3,auto
4,"[100, 102, 103, 105]",0.579,6550,10.0,poly,4,scale
2,"[100, 102]",0.576,6550,0.01,poly,4,scale
2,"[100, 102]",0.58,6550,0.01,poly,4,auto
2,"[100, 102]",0.578,6550,0.01,linear,3,scale
2,"[100, 102]",0.579,6500,0.01,poly,2,scale
4,"[100, 102, 103, 105]",0.625,6500,10.0,rbf,3,scale
2,"[100, 102]",0.57,6500,0.001,poly,3,auto
2,"[100, 102]",0.564,6500,10.0,poly,3,auto
3,"[100, 102, 105]",0.617,6500,10.0,rbf,3,scale
2,"[100, 102]",0.563,6500,0.001,poly,5,scale
2,"[100, 102]",0.58,6500,1.0,rbf,3,scale
2,"[100, 102]",0.581,6500,0.01,poly,2,auto
2,"[100, 102]",0.582,6450,1.0,poly,4,scale
2,"[100, 102]",0.562,6450,1.0,poly,5,scale
2,"[100, 102]",0.578,6400,1.0,poly,4,auto
2,"[100, 102]",0.563,6400,0.01,sigmoid,3,scale
2,"[100, 102]",0.583,6400,10.0,rbf,3,auto
2,"[100, 102]",0.573,6400,0.1,poly,5,auto
5,"[100, 102, 103, 104, 105]",0.604,6400,0.1,sigmoid,3,auto
2,"[100, 102]",0.581,6350,1.0,rbf,3,auto
3,"[100, 102, 105]",0.552,6350,0.1,poly,5,scale
2,"[100, 102]",0.581,6350,10.0,poly,4,scale
2,"[100, 102]",0.58,6300,10.0,poly,4,auto
2,"[100, 102]",0.576,6300,10.0,rbf,3,scale
4,"[100, 102, 103, 105]",0.529,6300,1.0,poly,5,auto
2,"[100, 102]",0.559,6250,0.01,sigmoid,3,auto
4,"[100, 102, 103, 105]",0.558,6250,10.0,poly,4,auto
3,"[100, 102, 105]",0.599,6250,10.0,rbf,3,auto
4,"[100, 102, 103, 105]",0.605,6250,0.1,sigmoid,3,scale
1,[100],0.541,6200,1.0,poly,5,auto
1,[100],0.546,6200,10.0,poly,5,scale
1,[100],0.543,6200,10.0,poly,5,auto
4,"[100, 102, 103, 105]",0.615,6150,10.0,rbf,3,auto
1,[100],0.544,6150,1.0,linear,3,scale
3,"[100, 102, 105]",0.545,6150,10.0,poly,4,auto
1,[100],0.55,6150,0.01,poly,3,scale
1,[100],0.539,6150,0.01,poly,3,auto
1,[100],0.543,6150,10.0,linear,3,auto
1,[100],0.543,6150,10.0,linear,3,scale
1,[100],0.544,6150,1.0,linear,3,auto
1,[100],0.544,6150,0.1,linear,3,scale
1,[100],0.544,6150,0.1,linear,3,auto
1,[100],0.547,6100,1.0,poly,2,auto
1,[100],0.545,6100,1.0,poly,5,scale
1,[100],0.548,6100,0.001,poly,3,auto
1,[100],0.536,6100,0.001,poly,4,scale
1,[100],0.54,6100,0.001,poly,3,scale
1,[100],0.544,6100,10.0,poly,2,auto
1,[100],0.543,6100,0.001,poly,2,scale
1,[100],0.547,6100,1.0,poly,2,scale
1,[100],0.546,6100,0.01,poly,2,auto
1,[100],0.541,6100,0.001,poly,5,auto
1,[100],0.545,6100,0.1,poly,5,auto
1,[100],0.542,6100,0.1,poly,5,scale
1,[100],0.547,6100,0.1,poly,2,auto
1,[100],0.548,6100,0.1,poly,2,scale
1,[100],0.544,6100,0.01,poly,4,auto
1,[100],0.538,6100,0.01,poly,4,scale
1,[100],0.547,6100,0.01,linear,3,scale
1,[100],0.547,6100,0.01,linear,3,auto
1,[100],0.544,6100,0.01,poly,2,scale
1,[100],0.544,6100,10.0,poly,2,scale
5,"[100, 102, 103, 104, 105]",0.586,6050,1.0,sigmoid,3,scale
1,[100],0.544,6050,0.001,linear,3,scale
1,[100],0.548,6050,0.1,poly,3,scale
1,[100],0.548,6050,10.0,poly,3,scale
1,[100],0.54,6050,10.0,poly,4,scale
1,[100],0.537,6050,1.0,rbf,3,auto
1,[100],0.538,6050,10.0,rbf,3,scale
1,[100],0.539,6050,10.0,rbf,3,auto
1,[100],0.539,6050,1.0,rbf,3,scale
1,[100],0.54,6050,1.0,poly,4,auto
1,[100],0.548,6050,1.0,poly,3,auto
1,[100],0.548,6050,1.0,poly,3,scale
1,[100],0.541,6050,0.1,rbf,3,scale
1,[100],0.544,6050,0.1,poly,4,auto
1,[100],0.542,6050,0.1,poly,4,scale
1,[100],0.544,6050,0.001,linear,3,auto
1,[100],0.548,6050,10.0,poly,3,auto
1,[100],0.543,6050,0.01,poly,5,scale
1,[100],0.545,6050,0.001,poly,2,auto
1,[100],0.544,6050,0.01,rbf,3,auto
1,[100],0.542,6050,0.01,rbf,3,scale
1,[100],0.541,6050,0.001,poly,5,scale
1,[100],0.552,6050,0.01,poly,5,auto
1,[100],0.538,6000,10.0,poly,4,auto
1,[100],0.539,6000,0.001,poly,4,auto
1,[100],0.54,6000,1.0,poly,4,scale
1,[100],0.548,6000,0.1,poly,3,auto
1,[100],0.539,6000,0.1,rbf,3,auto
1,[100],0.533,5900,0.01,sigmoid,3,scale
3,"[100, 102, 105]",0.502,5800,10.0,poly,5,auto
2,"[100, 102]",0.503,5750,10.0,poly,5,auto
4,"[100, 102, 103, 105]",0.519,5750,10.0,poly,5,scale
2,"[100, 102]",0.5,5750,1.0,poly,5,auto
5,"[100, 102, 103, 104, 105]",0.579,5700,10.0,sigmoid,3,scale
3,"[100, 102, 105]",0.532,5650,0.1,sigmoid,3,scale
2,"[100, 102]",0.5,5600,10.0,poly,5,scale
5,"[100, 102, 103, 104, 105]",0.535,5600,1.0,sigmoid,3,auto
4,"[100, 102, 103, 105]",0.542,5600,1.0,sigmoid,3,scale
1,[100],0.532,5600,0.01,sigmoid,3,auto
3,"[100, 102, 105]",0.514,5550,1.0,poly,4,auto
4,"[100, 102, 103, 105]",0.549,5550,0.1,sigmoid,3,auto
5,"[100, 102, 103, 104, 105]",0.538,5500,10.0,sigmoid,3,auto
2,"[100, 102]",0.5,5500,10.0,sigmoid,3,scale
2,"[100, 102]",0.499,5500,1.0,sigmoid,3,scale
4,"[100, 102, 103, 105]",0.538,5450,10.0,sigmoid,3,scale
2,"[100, 102]",0.501,5450,10.0,sigmoid,3,auto
2,"[100, 102]",0.506,5450,0.1,sigmoid,3,auto
2,"[100, 102]",0.496,5350,1.0,sigmoid,3,auto
1,[100],0.491,5300,0.001,rbf,3,scale
4,"[100, 102, 103, 105]",0.537,5300,1.0,sigmoid,3,auto
1,[100],0.491,5300,0.001,rbf,3,auto
4,"[100, 102, 103, 105]",0.545,5250,10.0,sigmoid,3,auto
2,"[100, 102]",0.492,5250,0.1,sigmoid,3,scale
3,"[100, 102, 105]",0.506,5200,10.0,poly,4,scale
3,"[100, 102, 105]",0.527,5100,10.0,sigmoid,3,scale
3,"[100, 102, 105]",0.529,5000,0.1,sigmoid,3,auto
3,"[100, 102, 105]",0.522,5000,1.0,sigmoid,3,scale
1,[100],0.484,4950,10.0,sigmoid,3,scale
1,[100],0.482,4950,1.0,sigmoid,3,scale
1,[100],0.478,4900,1.0,sigmoid,3,auto
1,[100],0.484,4900,0.1,sigmoid,3,auto
1,[100],0.478,4900,10.0,sigmoid,3,auto
1,[100],0.477,4850,0.1,sigmoid,3,scale
1,[100],0.491,4700,0.001,sigmoid,3,auto
1,[100],0.491,4700,0.001,sigmoid,3,scale
3,"[100, 102, 105]",0.502,4700,10.0,sigmoid,3,auto
4,"[100, 102, 103, 105]",0.513,4600,10.0,poly,5,auto
2,"[100, 102]",0.491,4500,0.001,sigmoid,3,auto
2,"[100, 102]",0.491,4500,0.001,sigmoid,3,scale
3,"[100, 102, 105]",0.498,4350,10.0,poly,5,scale
3,"[100, 102, 105]",0.495,4250,1.0,poly,5,auto
3,"[100, 102, 105]",0.491,4250,1.0,poly,5,scale
3,"[100, 102, 105]",0.491,4250,0.1,poly,5,auto
3,"[100, 102, 105]",0.491,4150,1.0,sigmoid,3,auto
5,"[100, 102, 103, 104, 105]",0.5,3950,10.0,poly,5,auto
