Variable,Shapiro Statistic,Shapiro P-Value
233,0.9551746845245361,1.1482831525148882e-36
234,0.9541411399841309,5.371752779270046e-37
235,0.9561966061592102,2.4675537750023603e-36
236,0.9543973803520203,6.476677291013427e-37
237,0.957352340221405,5.963314266680306e-36
238,0.9547561407089233,8.427816125731244e-37
239,0.9514451026916504,7.879572450860434e-38
240,0.9531683325767517,2.660271191471617e-37
241,0.9542130827903748,5.660910829487349e-37
242,0.9529311060905457,2.2452935789472713e-37
243,0.9547203779220581,8.208949896977525e-37
244,0.955359697341919,1.3175133717924334e-36
245,0.953176736831665,2.6763112384214188e-37
246,0.9534058570861816,3.1547743976123073e-37
247,0.9545621871948242,7.308144573157063e-37
248,0.9569805264472961,4.48042498627281e-36
249,0.955459475517273,1.4191349983266588e-36
250,0.9548550844192505,9.0652378743523e-37
251,0.9553464651107788,1.3045955971873506e-36
252,0.9541985988616943,5.6013782897367275e-37
253,0.9567434787750244,3.737627566162766e-36
254,0.9549711346626282,9.876379378322843e-37
255,0.9579416513442993,9.420272826301873e-36
256,0.9546436071395874,7.758362263670003e-37
257,0.955123245716095,1.1053210904191728e-36
258,0.9545688629150391,7.3442783432542655e-37
259,0.9537429213523865,4.023149415020962e-37
260,0.951519787311554,8.300052794298367e-38
261,0.9538320302963257,4.291244940384569e-37
262,0.954939067363739,9.64508217484016e-37
263,0.9551343321800232,1.1144301133774452e-36
264,0.9566692113876343,3.5318403622310166e-36
265,0.9553290605545044,1.2878161579054447e-36
266,0.9543070197105408,6.06258036654794e-37
267,0.9576560258865356,7.542965156656893e-36
268,0.9538630247116089,4.388906699245591e-37
269,0.951649010181427,9.083027750720473e-38
270,0.9549741744995117,9.898864725585276e-37
271,0.9537798762321472,4.132297337134362e-37
272,0.9536029100418091,3.6361410472212768e-37
273,0.9569949507713318,4.5301424280053425e-36
274,0.9592599272727966,2.669176884901677e-35
275,0.9538024067878723,4.200133186857432e-37
276,0.9541378021240234,5.358724515083648e-37
277,0.9563021659851074,2.6725506914417812e-36
278,0.9542609453201294,5.862200963966611e-37
279,0.9560103416442871,2.1441548959157908e-36
280,0.9534377455711365,3.2280448190916604e-37
281,0.957802951335907,8.455240321405221e-36
282,0.9560348391532898,2.184141362379645e-36
283,0.9546254873275757,7.655752239671757e-37
284,0.9559420347213745,2.0367823404839763e-36
285,0.9541575312614441,5.43631295370291e-37
286,0.9551413059234619,1.1202101892830922e-36
287,0.9560203552246094,2.1603995548621595e-36
288,0.9553255438804626,1.2844303517663308e-36
289,0.9549688100814819,9.859430168929387e-37
