blueGold,blueMinionsKilled,blueJungleMinionsKilled,blueAvgLevel,redGold,redMinionsKilled,redJungleMinionsKilled,redAvgLevel,blueHeraldKills,blueTowersDestroyed,redTowersDestroyed,blue_win
23397.0,308.0,77.0,8.8,27528.0,347.0,84.0,9.6,1.0,1.0,0.0,1
22428.0,326.0,94.0,8.8,24137.0,344.0,84.0,9.0,2.0,0.0,0.0,0
29221.0,329.0,76.0,9.0,27256.0,344.0,54.0,9.0,1.0,1.0,1.0,0
25773.0,338.0,88.0,9.2,28142.0,357.0,76.0,9.6,2.0,1.0,0.0,0
23320.0,358.0,90.0,9.4,22712.0,368.0,83.0,9.4,2.0,0.0,0.0,1
24272.0,342.0,77.0,9.0,25397.0,373.0,107.0,9.6,1.0,1.0,0.0,1
23132.0,354.0,76.0,8.8,24997.0,365.0,109.0,9.2,2.0,0.0,0.0,0
26622.0,366.0,62.0,8.6,25682.0,356.0,92.0,9.0,0.0,2.0,1.0,1
25090.0,327.0,92.0,8.6,26589.0,322.0,109.0,9.0,2.0,2.0,1.0,1
24557.0,294.0,92.0,8.8,28086.0,361.0,90.0,9.4,2.0,1.0,0.0,0
26906.0,373.0,105.0,9.6,25173.0,361.0,92.0,9.4,2.0,0.0,1.0,0
30499.0,314.0,92.0,9.4,23205.0,289.0,48.0,8.6,2.0,0.0,3.0,1
27829.0,304.0,112.0,9.8,27036.0,319.0,76.0,9.0,2.0,1.0,0.0,1
28522.0,298.0,73.0,9.0,29899.0,356.0,71.0,9.0,1.0,1.0,0.0,0
23096.0,320.0,72.0,8.6,31460.0,385.0,104.0,9.6,0.0,3.0,0.0,0
25688.0,350.0,80.0,9.0,27798.0,284.0,88.0,9.2,2.0,0.0,1.0,0
26465.0,288.0,71.0,8.6,32134.0,338.0,78.0,9.6,0.0,2.0,0.0,0
24917.0,298.0,99.0,9.0,27297.0,329.0,92.0,9.2,1.0,1.0,0.0,0
23282.0,316.0,72.0,8.4,26954.0,337.0,96.0,9.4,1.0,1.0,0.0,1
22438.0,299.0,80.0,9.2,29563.0,386.0,106.0,9.8,1.0,2.0,0.0,0
23129.0,341.0,91.0,8.8,23610.0,336.0,79.0,8.8,0.0,0.0,0.0,0
23743.0,361.0,84.0,9.2,25786.0,390.0,92.0,9.4,2.0,1.0,0.0,0
28628.0,323.0,74.0,9.6,22502.0,323.0,64.0,8.8,1.0,0.0,1.0,1
27103.0,358.0,76.0,9.4,26329.0,301.0,66.0,9.0,0.0,1.0,0.0,0
23535.0,330.0,82.0,9.0,29539.0,357.0,105.0,9.6,1.0,2.0,0.0,0
24640.0,336.0,88.0,9.0,30036.0,370.0,98.0,9.4,0.0,3.0,1.0,0
26865.0,373.0,69.0,9.2,28576.0,400.0,63.0,9.6,2.0,1.0,1.0,1
23343.0,339.0,87.0,9.0,26958.0,294.0,78.0,9.0,0.0,2.0,0.0,0
26130.0,371.0,76.0,9.6,25068.0,361.0,64.0,9.0,1.0,0.0,0.0,1
30732.0,369.0,84.0,9.2,28506.0,359.0,66.0,9.4,1.0,1.0,2.0,1
24219.0,361.0,73.0,9.0,26076.0,381.0,97.0,9.4,1.0,1.0,1.0,1
24952.0,336.0,74.0,9.0,25775.0,313.0,103.0,9.2,0.0,0.0,0.0,1
29631.0,371.0,71.0,9.8,23566.0,275.0,96.0,8.8,3.0,0.0,3.0,1
25357.0,327.0,84.0,8.8,26651.0,364.0,112.0,9.8,2.0,1.0,2.0,1
29203.0,345.0,80.0,9.8,29816.0,339.0,112.0,10.0,1.0,0.0,0.0,0
29063.0,335.0,77.0,9.6,23718.0,352.0,59.0,9.0,2.0,0.0,1.0,1
30301.0,320.0,76.0,9.2,26962.0,320.0,86.0,8.6,2.0,0.0,1.0,1
29112.0,353.0,96.0,9.4,25733.0,306.0,104.0,9.2,1.0,1.0,2.0,0
27311.0,322.0,108.0,9.2,26442.0,347.0,85.0,9.2,3.0,2.0,2.0,0
27777.0,353.0,72.0,9.6,25399.0,340.0,72.0,9.4,2.0,0.0,1.0,1
23445.0,356.0,80.0,8.8,30099.0,381.0,94.0,9.8,0.0,3.0,0.0,0
27540.0,316.0,72.0,9.2,28248.0,364.0,90.0,9.0,1.0,2.0,2.0,1
25836.0,391.0,88.0,9.6,29034.0,371.0,95.0,9.6,0.0,2.0,0.0,0
24661.0,381.0,63.0,8.4,25199.0,346.0,80.0,9.4,0.0,0.0,1.0,0
29325.0,351.0,102.0,9.2,23580.0,353.0,85.0,8.6,2.0,1.0,2.0,1
29487.0,327.0,124.0,9.8,23900.0,334.0,82.0,8.8,2.0,1.0,2.0,1
24409.0,346.0,68.0,9.0,27344.0,347.0,104.0,9.0,0.0,1.0,0.0,0
29481.0,360.0,92.0,9.6,20672.0,268.0,76.0,8.4,0.0,0.0,2.0,0
24266.0,318.0,80.0,8.8,31630.0,353.0,87.0,9.6,0.0,2.0,0.0,0
27807.0,322.0,75.0,8.8,26724.0,352.0,76.0,9.0,2.0,0.0,1.0,0
27861.0,334.0,115.0,9.6,25676.0,339.0,82.0,9.2,1.0,0.0,0.0,0
26821.0,394.0,72.0,9.2,28710.0,372.0,110.0,9.4,1.0,1.0,1.0,0
24709.0,356.0,63.0,9.2,22738.0,339.0,91.0,8.4,2.0,0.0,0.0,1
27021.0,398.0,111.0,9.6,24110.0,373.0,76.0,9.2,3.0,0.0,1.0,1
23157.0,374.0,68.0,8.6,30559.0,373.0,99.0,9.8,0.0,2.0,0.0,0
25030.0,328.0,112.0,9.0,28438.0,377.0,84.0,9.2,2.0,1.0,1.0,0
26570.0,299.0,71.0,9.0,26963.0,357.0,98.0,9.4,1.0,1.0,1.0,0
27131.0,379.0,100.0,9.6,23832.0,387.0,92.0,9.4,1.0,0.0,1.0,1
23397.0,345.0,91.0,9.0,31175.0,410.0,87.0,9.8,1.0,0.0,0.0,0
28116.0,395.0,96.0,9.8,27240.0,354.0,79.0,9.2,1.0,1.0,1.0,1
32788.0,311.0,76.0,9.2,25544.0,261.0,55.0,8.8,2.0,0.0,2.0,1
24956.0,392.0,80.0,9.4,25658.0,373.0,84.0,8.8,0.0,1.0,1.0,1
28245.0,369.0,92.0,9.6,24050.0,335.0,84.0,8.8,2.0,0.0,2.0,1
25039.0,307.0,67.0,8.4,32009.0,343.0,89.0,9.2,0.0,3.0,1.0,0
23055.0,331.0,79.0,8.6,29222.0,365.0,86.0,9.6,1.0,0.0,0.0,1
23323.0,347.0,59.0,9.0,25447.0,325.0,68.0,9.2,0.0,1.0,0.0,0
23249.0,282.0,71.0,8.8,28669.0,323.0,84.0,9.8,0.0,1.0,0.0,0
29169.0,375.0,91.0,9.8,19709.0,291.0,84.0,8.2,1.0,0.0,1.0,1
26588.0,323.0,76.0,8.8,27085.0,342.0,65.0,9.0,1.0,2.0,0.0,1
32498.0,378.0,103.0,9.8,20892.0,319.0,58.0,8.4,3.0,0.0,3.0,1
26720.0,331.0,74.0,9.0,27895.0,292.0,102.0,9.0,1.0,0.0,1.0,0
27491.0,339.0,76.0,9.4,27778.0,363.0,110.0,9.4,1.0,1.0,1.0,1
27372.0,334.0,76.0,9.2,23688.0,313.0,82.0,8.8,1.0,0.0,1.0,0
25209.0,377.0,100.0,9.0,24427.0,352.0,101.0,9.4,2.0,0.0,1.0,1
26384.0,342.0,63.0,9.0,25840.0,340.0,84.0,9.4,1.0,0.0,0.0,1
26447.0,358.0,101.0,9.8,23220.0,364.0,72.0,8.8,3.0,0.0,0.0,1
26688.0,372.0,68.0,9.2,23959.0,295.0,96.0,9.0,2.0,0.0,3.0,1
24131.0,371.0,62.0,8.8,25638.0,368.0,88.0,9.2,0.0,0.0,1.0,1
23975.0,360.0,85.0,9.2,27578.0,402.0,88.0,9.4,1.0,2.0,0.0,1
28272.0,370.0,78.0,9.2,23168.0,336.0,80.0,9.2,2.0,0.0,3.0,1
26076.0,342.0,66.0,9.0,27078.0,358.0,89.0,9.6,1.0,0.0,1.0,0
22464.0,332.0,81.0,8.6,25375.0,390.0,80.0,9.4,1.0,0.0,0.0,1
27042.0,347.0,85.0,9.6,25556.0,297.0,73.0,9.0,1.0,1.0,1.0,1
25340.0,351.0,114.0,9.2,22593.0,348.0,90.0,9.4,2.0,0.0,1.0,1
22630.0,244.0,67.0,8.2,32752.0,382.0,82.0,9.8,1.0,3.0,0.0,0
30612.0,325.0,104.0,9.6,24243.0,368.0,84.0,9.0,3.0,1.0,3.0,1
23006.0,334.0,69.0,8.6,30616.0,391.0,95.0,9.4,0.0,3.0,0.0,0
26826.0,350.0,102.0,9.4,29526.0,342.0,91.0,9.8,3.0,1.0,1.0,0
28364.0,340.0,81.0,9.4,27611.0,366.0,82.0,9.4,2.0,1.0,0.0,1
26317.0,312.0,87.0,8.8,27778.0,312.0,72.0,9.2,2.0,0.0,1.0,0
26082.0,359.0,100.0,9.0,26344.0,383.0,94.0,9.4,1.0,1.0,1.0,0
25408.0,384.0,76.0,9.2,24971.0,358.0,92.0,9.2,0.0,1.0,0.0,1
22451.0,313.0,103.0,9.0,28007.0,372.0,92.0,9.4,0.0,2.0,0.0,0
26081.0,409.0,81.0,9.0,23241.0,342.0,103.0,9.6,1.0,0.0,1.0,1
28939.0,320.0,99.0,9.6,26815.0,338.0,65.0,9.6,1.0,0.0,1.0,1
25502.0,302.0,64.0,9.0,28429.0,337.0,66.0,9.2,1.0,2.0,0.0,0
22504.0,308.0,80.0,8.8,27709.0,354.0,96.0,9.4,0.0,2.0,0.0,0
24097.0,342.0,96.0,8.8,29543.0,351.0,112.0,9.6,0.0,2.0,0.0,0
29734.0,386.0,99.0,9.8,22889.0,360.0,86.0,9.0,2.0,0.0,1.0,1
24438.0,348.0,69.0,8.6,29994.0,352.0,89.0,9.4,1.0,2.0,1.0,0
32393.0,402.0,107.0,9.6,24823.0,354.0,89.0,9.2,3.0,0.0,3.0,1
26565.0,377.0,86.0,9.4,22625.0,358.0,97.0,9.2,3.0,0.0,2.0,1
26088.0,355.0,66.0,9.2,26553.0,350.0,94.0,9.6,1.0,0.0,1.0,0
31049.0,389.0,102.0,9.8,22966.0,380.0,83.0,9.0,3.0,0.0,2.0,1
29333.0,333.0,86.0,9.6,26671.0,320.0,83.0,8.8,2.0,1.0,1.0,1
23803.0,343.0,84.0,8.8,24683.0,325.0,64.0,8.6,0.0,0.0,0.0,1
28351.0,367.0,99.0,9.6,25556.0,318.0,75.0,9.0,2.0,1.0,2.0,1
26069.0,334.0,72.0,9.4,27139.0,356.0,86.0,9.4,1.0,0.0,0.0,1
32257.0,361.0,120.0,9.8,18656.0,268.0,72.0,7.6,3.0,0.0,7.0,1
23582.0,354.0,83.0,8.8,28630.0,338.0,96.0,9.8,0.0,2.0,0.0,0
33787.0,376.0,85.0,9.6,24134.0,256.0,101.0,8.8,1.0,1.0,5.0,1
27095.0,355.0,76.0,9.0,26999.0,368.0,84.0,9.0,2.0,0.0,0.0,1
23077.0,343.0,88.0,9.0,23494.0,386.0,93.0,9.2,1.0,0.0,0.0,1
24017.0,340.0,110.0,9.2,25689.0,322.0,65.0,9.2,1.0,1.0,0.0,1
28088.0,364.0,81.0,9.6,22986.0,307.0,89.0,8.8,1.0,0.0,2.0,1
22505.0,277.0,88.0,8.8,33442.0,349.0,106.0,9.8,1.0,4.0,0.0,0
22982.0,277.0,88.0,8.8,31319.0,365.0,99.0,10.0,1.0,3.0,0.0,0
27773.0,306.0,76.0,9.4,30473.0,340.0,82.0,9.0,1.0,2.0,0.0,1
25506.0,312.0,67.0,9.2,24761.0,339.0,86.0,8.8,2.0,1.0,0.0,1
24907.0,268.0,65.0,8.4,30151.0,322.0,78.0,9.2,2.0,1.0,0.0,0
29610.0,325.0,96.0,9.2,24748.0,318.0,76.0,9.0,3.0,0.0,1.0,1
22363.0,351.0,61.0,8.8,28251.0,374.0,121.0,9.8,0.0,1.0,0.0,0
27782.0,324.0,62.0,8.8,30141.0,285.0,101.0,9.4,0.0,1.0,1.0,0
27785.0,356.0,96.0,9.6,25811.0,361.0,96.0,9.0,2.0,1.0,1.0,1
22941.0,358.0,85.0,9.0,25090.0,375.0,74.0,8.8,3.0,0.0,0.0,1
31949.0,384.0,86.0,10.0,19802.0,274.0,79.0,7.8,2.0,0.0,3.0,1
23302.0,336.0,65.0,9.0,27828.0,375.0,92.0,9.4,0.0,2.0,0.0,0
29200.0,285.0,82.0,9.0,32368.0,312.0,61.0,9.0,2.0,1.0,0.0,1
26737.0,373.0,101.0,9.4,25569.0,354.0,86.0,9.2,3.0,1.0,2.0,0
28531.0,331.0,92.0,9.0,24581.0,280.0,76.0,8.6,2.0,0.0,2.0,1
23451.0,309.0,73.0,8.4,27614.0,322.0,87.0,9.2,0.0,0.0,0.0,0
31111.0,403.0,72.0,9.2,25973.0,311.0,75.0,9.0,1.0,0.0,2.0,1
24433.0,356.0,56.0,9.2,27490.0,357.0,97.0,9.4,1.0,1.0,0.0,0
27644.0,314.0,78.0,9.0,24943.0,339.0,65.0,9.0,2.0,0.0,1.0,0
25835.0,358.0,92.0,9.4,28257.0,335.0,84.0,9.4,3.0,1.0,1.0,0
27282.0,345.0,91.0,9.2,24405.0,370.0,75.0,8.8,1.0,0.0,1.0,1
24250.0,379.0,75.0,9.2,25468.0,387.0,86.0,9.4,1.0,0.0,1.0,0
21276.0,188.0,81.0,7.4,32743.0,312.0,80.0,9.0,0.0,5.0,0.0,0
22223.0,365.0,81.0,8.8,24580.0,397.0,101.0,9.4,0.0,0.0,0.0,1
24938.0,327.0,89.0,9.4,27161.0,331.0,101.0,9.2,0.0,0.0,0.0,0
26353.0,327.0,76.0,9.2,27665.0,362.0,80.0,9.2,1.0,1.0,0.0,0
31867.0,345.0,100.0,9.4,25510.0,316.0,66.0,8.6,3.0,0.0,2.0,0
25550.0,307.0,85.0,9.2,25661.0,322.0,83.0,9.4,1.0,1.0,0.0,1
30470.0,340.0,94.0,9.8,27064.0,381.0,63.0,9.4,2.0,1.0,2.0,1
25871.0,368.0,91.0,8.8,30528.0,365.0,99.0,9.6,2.0,2.0,1.0,0
28272.0,376.0,82.0,9.6,26027.0,363.0,76.0,9.0,3.0,1.0,1.0,1
28652.0,397.0,104.0,9.6,25448.0,328.0,84.0,9.2,3.0,0.0,2.0,1
27848.0,361.0,79.0,9.2,23118.0,319.0,64.0,8.4,2.0,0.0,1.0,1
23810.0,297.0,72.0,8.8,29881.0,369.0,95.0,10.0,1.0,1.0,0.0,0
32951.0,384.0,120.0,9.8,21513.0,301.0,77.0,8.6,3.0,0.0,4.0,1
30100.0,292.0,81.0,9.0,32106.0,346.0,90.0,9.6,1.0,2.0,1.0,0
28326.0,298.0,108.0,9.2,27545.0,337.0,80.0,9.0,3.0,1.0,1.0,1
27235.0,357.0,78.0,9.0,30634.0,379.0,108.0,9.6,1.0,2.0,0.0,0
22398.0,284.0,88.0,8.4,28317.0,361.0,80.0,9.2,0.0,2.0,0.0,0
28543.0,392.0,55.0,9.4,24029.0,327.0,92.0,9.4,1.0,0.0,1.0,1
24605.0,273.0,98.0,8.8,31316.0,322.0,109.0,9.8,0.0,2.0,0.0,0
28479.0,358.0,93.0,9.2,30957.0,328.0,92.0,9.6,1.0,1.0,1.0,0
27130.0,313.0,82.0,9.0,26375.0,348.0,72.0,9.0,3.0,1.0,1.0,0
30884.0,354.0,92.0,9.6,26313.0,303.0,88.0,9.0,1.0,1.0,2.0,1
25933.0,314.0,87.0,8.6,26272.0,349.0,70.0,9.2,2.0,1.0,1.0,0
28826.0,375.0,92.0,10.0,25581.0,378.0,90.0,9.2,1.0,1.0,1.0,0
25273.0,325.0,82.0,9.2,25041.0,347.0,102.0,9.4,2.0,0.0,0.0,1
24365.0,340.0,72.0,9.2,29224.0,391.0,108.0,9.6,1.0,2.0,0.0,0
27163.0,280.0,74.0,9.4,25856.0,313.0,93.0,9.2,3.0,1.0,1.0,1
26913.0,378.0,96.0,9.2,25463.0,382.0,102.0,9.2,2.0,0.0,2.0,0
29231.0,407.0,115.0,9.8,23821.0,408.0,90.0,9.2,3.0,0.0,1.0,1
25507.0,300.0,64.0,9.2,26358.0,322.0,79.0,8.8,0.0,0.0,0.0,0
33768.0,368.0,84.0,10.2,25361.0,343.0,60.0,9.0,2.0,0.0,5.0,1
27565.0,326.0,69.0,9.0,29084.0,358.0,64.0,9.2,3.0,2.0,2.0,1
21695.0,349.0,74.0,8.6,29333.0,441.0,99.0,9.8,0.0,2.0,0.0,0
31885.0,379.0,75.0,9.6,23570.0,329.0,45.0,8.6,2.0,0.0,4.0,1
28040.0,347.0,89.0,9.4,26088.0,361.0,90.0,9.4,1.0,0.0,2.0,1
27575.0,343.0,97.0,9.2,22096.0,294.0,64.0,8.4,2.0,0.0,1.0,1
26458.0,341.0,109.0,9.6,25904.0,356.0,93.0,8.8,1.0,1.0,0.0,1
29707.0,379.0,116.0,9.8,23274.0,352.0,95.0,9.0,2.0,0.0,2.0,1
25692.0,369.0,73.0,9.4,27932.0,395.0,100.0,9.6,0.0,2.0,0.0,1
30316.0,357.0,103.0,9.6,25394.0,353.0,85.0,9.0,1.0,0.0,1.0,0
27378.0,314.0,81.0,9.0,22674.0,294.0,60.0,8.6,2.0,0.0,1.0,1
24108.0,369.0,109.0,9.2,22618.0,339.0,92.0,9.2,3.0,0.0,1.0,1
27148.0,321.0,86.0,9.6,24548.0,317.0,95.0,9.2,1.0,0.0,1.0,1
28961.0,301.0,63.0,8.8,29395.0,344.0,88.0,9.6,1.0,0.0,2.0,1
28262.0,368.0,71.0,9.2,28301.0,335.0,95.0,9.4,0.0,1.0,0.0,0
28497.0,384.0,75.0,9.4,24282.0,359.0,96.0,9.2,1.0,0.0,2.0,1
31313.0,384.0,95.0,9.8,21450.0,319.0,76.0,8.8,2.0,0.0,2.0,1
