model,n_estimators,max_depth,min_samples_split,min_samples_leaf,es,cv1,cv2,cv3,cv4,cv_mean,cv_std,columns
"RandomForestClassifierWithThreshold(max_depth=3, min_samples_leaf=10,
                                    min_samples_split=14, n_estimators=1000,
                                    random_state=42)",1000,3,14,10,1190.0,1350.0,1240.0,1240.0,1440.0,1317.5,83.7779804005802,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=5, min_samples_leaf=7,
                                    min_samples_split=10, n_estimators=1000,
                                    random_state=42)",1000,5,10,7,1290.0,1380.0,1260.0,1300.0,1430.0,1342.5,66.47367900154165,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=2,
                                    min_samples_split=13, n_estimators=1000,
                                    random_state=42)",1000,8,13,2,1280.0,1370.0,1290.0,1290.0,1460.0,1352.5,70.13380069552768,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=9,
                                    min_samples_split=12, n_estimators=1000,
                                    random_state=42)",1000,8,12,9,1250.0,1390.0,1300.0,1330.0,1420.0,1360.0,47.43416490252569,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=7, min_samples_leaf=12,
                                    min_samples_split=15, n_estimators=1000,
                                    random_state=42)",1000,7,15,12,1300.0,1380.0,1300.0,1310.0,1450.0,1360.0,60.41522986797286,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=11,
                                    min_samples_split=15, n_estimators=1000,
                                    random_state=42)",1000,8,15,11,1280.0,1390.0,1310.0,1320.0,1440.0,1365.0,53.150729063673246,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=11,
                                    min_samples_split=16, n_estimators=1000,
                                    random_state=42)",1000,8,16,11,1280.0,1390.0,1310.0,1320.0,1440.0,1365.0,53.150729063673246,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=12,
                                    min_samples_split=13, n_estimators=1000,
                                    random_state=42)",1000,8,13,12,1290.0,1390.0,1310.0,1350.0,1440.0,1372.5,48.15340071064556,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=15,
                                    min_samples_split=11, n_estimators=1000,
                                    random_state=42)",1000,8,11,15,1270.0,1380.0,1310.0,1320.0,1420.0,1357.5,44.93050188902857,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=7, min_samples_leaf=14,
                                    min_samples_split=13, n_estimators=1000,
                                    random_state=42)",1000,7,13,14,1290.0,1360.0,1310.0,1320.0,1430.0,1355.0,47.16990566028302,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=12,
                                    min_samples_split=12, n_estimators=1000,
                                    random_state=42)",1000,8,12,12,1290.0,1390.0,1310.0,1350.0,1440.0,1372.5,48.15340071064556,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=12,
                                    min_samples_split=11, n_estimators=1000,
                                    random_state=42)",1000,8,11,12,1290.0,1390.0,1310.0,1350.0,1440.0,1372.5,48.15340071064556,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=12,
                                    min_samples_split=11, n_estimators=1000,
                                    random_state=42)",1000,8,11,12,1290.0,1390.0,1310.0,1350.0,1440.0,1372.5,48.15340071064556,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=5, min_samples_leaf=14,
                                    min_samples_split=11, n_estimators=1000,
                                    random_state=42)",1000,5,11,14,1280.0,1360.0,1280.0,1280.0,1450.0,1342.5,70.13380069552768,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=7, min_samples_leaf=12,
                                    min_samples_split=10, n_estimators=1000,
                                    random_state=42)",1000,7,10,12,1300.0,1380.0,1300.0,1310.0,1450.0,1360.0,60.41522986797286,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=12,
                                    min_samples_split=12, n_estimators=1000,
                                    random_state=42)",1000,8,12,12,1290.0,1390.0,1310.0,1350.0,1440.0,1372.5,48.15340071064556,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=13,
                                    min_samples_split=12, n_estimators=1000,
                                    random_state=42)",1000,8,12,13,1280.0,1390.0,1300.0,1320.0,1430.0,1360.0,52.44044240850758,"['x100', 'x101', 'x105']"
"RandomForestClassifierWithThreshold(max_depth=8, min_samples_leaf=12,
                                    min_samples_split=11, n_estimators=1000,
                                    random_state=42)",1000,8,11,12,1290.0,1390.0,1310.0,1350.0,1440.0,1372.5,48.15340071064556,"['x100', 'x101', 'x105']"
