model,iterations,depth,learning_rate,subsample,colsample_bylevel,min_data_in_leaf,test_score,cv_1,cv_2,cv_3,cv_4,cv_mean,cv_std,columns
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02233B20>,1000,4,0.0223983952754016,0.7885771958043157,0.1661968368257131,4,1320.0,1360.0,1270.0,1330.0,1470.0,1357.5,72.58615570478987,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02233B20>,1000,5,0.0555084853206397,0.6371915869855544,0.3283628220956983,9,1270.0,1360.0,1300.0,1350.0,1360.0,1342.5,24.8746859276655,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC5F7C0>,1000,4,0.0264016955677927,0.9975860561888008,0.1409580821041555,4,1300.0,1370.0,1270.0,1340.0,1450.0,1357.5,64.5658578507248,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC5D030>,1000,3,0.0083050559673632,0.2131173913050474,0.7755600251691103,3,1340.0,1380.0,1290.0,1340.0,1480.0,1372.5,69.77642868476431,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC5E770>,1000,4,0.0063578502474307,0.2131285916099897,0.7811286345344861,1,1310.0,1360.0,1280.0,1370.0,1460.0,1367.5,63.78675411086537,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC5C460>,1000,3,0.0155611671885405,0.4383595498111127,0.4642948418936661,3,1310.0,1370.0,1310.0,1360.0,1460.0,1375.0,54.08326913195984,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC5EF20>,1000,5,0.0161808353314849,0.4769461505050916,0.3926452371552786,2,1310.0,1360.0,1310.0,1380.0,1450.0,1375.0,50.24937810560445,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC5E770>,1000,4,0.0424082472812721,0.6119417874459394,0.0536155489234128,4,1180.0,1340.0,1230.0,1320.0,1450.0,1335.0,78.26237921249263,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC5EE30>,1000,3,0.0171050776992293,0.4104875340722859,0.5060170104888873,6,1320.0,1370.0,1300.0,1350.0,1470.0,1372.5,61.79603547154137,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0222E2C0>,1000,5,0.0990685714678513,0.7127753426479547,0.2474304601380565,1,1270.0,1360.0,1230.0,1310.0,1390.0,1322.5,60.57020719792859,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0222F700>,1000,4,0.0651006380315851,0.5996462848391997,0.3426445777310286,5,1320.0,1330.0,1310.0,1350.0,1420.0,1352.5,41.4578098794425,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0222CFD0>,1000,5,0.0325067434363138,0.8099571072321485,0.1612282355164325,2,1280.0,1360.0,1290.0,1320.0,1470.0,1360.0,68.19090848492928,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0222F0A0>,1000,3,0.0713179510594438,0.9158239521531096,0.4584758309705375,3,1290.0,1360.0,1220.0,1340.0,1380.0,1325.0,62.24949798994366,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0222D180>,1000,5,0.0168827984486496,0.4479373686623141,0.3762674320798351,2,1290.0,1370.0,1270.0,1380.0,1470.0,1372.5,70.84313657652378,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0222D930>,1000,6,0.0135535936994586,0.4739965834334618,0.4275831772364353,2,1300.0,1360.0,1300.0,1380.0,1480.0,1380.0,64.8074069840786,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0222EB00>,1000,7,0.013127591120185,0.752751267126141,0.2861690762210458,1,1310.0,1370.0,1310.0,1390.0,1470.0,1385.0,57.22761571129799,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0222E0B0>,1000,7,0.0063700274399355,0.757039475229755,0.2712610582667991,1,1310.0,1360.0,1240.0,1330.0,1460.0,1347.5,78.54139036202504,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0222FFA0>,1000,8,0.0115273620301488,0.8617295936055408,0.1861309291318704,2,1270.0,1340.0,1210.0,1330.0,1450.0,1332.5,84.96322733983214,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E018C05B0>,1000,7,0.0011567601281237,0.7319948834322701,0.2445026987760706,1,1150.0,1300.0,1230.0,1220.0,1430.0,1295.0,83.81527307120105,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E018C1EA0>,1000,6,0.0345955473227522,0.5678381369119903,0.1327292845272171,1,1310.0,1380.0,1270.0,1340.0,1480.0,1367.5,75.95228765481656,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E018C25C0>,1000,7,0.0063796981201684,0.6856729547456065,0.4309994849363793,2,1310.0,1390.0,1270.0,1340.0,1440.0,1360.0,62.849025449882674,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E018C3730>,1000,6,0.0206734574808565,0.495257651298153,0.312689866508542,3,1290.0,1370.0,1320.0,1350.0,1460.0,1375.0,52.20153254455275,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E018C0820>,1000,6,0.0774992240847781,0.9244305848908816,0.2234641760521954,1,1280.0,1330.0,1280.0,1350.0,1420.0,1345.0,50.24937810560445,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E019DB9D0>,1000,8,0.0121777106074759,0.5119223085325866,0.4779360369023668,3,1250.0,1380.0,1300.0,1320.0,1410.0,1352.5,44.37059837324712,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E019D8040>,1000,7,0.0086413651008445,0.3739892139932614,0.5421310053871464,2,1300.0,1380.0,1340.0,1330.0,1410.0,1365.0,32.01562118716424,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E019DBCD0>,1000,6,0.0135697822327628,0.8122421644585245,0.6126266572388454,4,1250.0,1380.0,1310.0,1310.0,1400.0,1350.0,40.62019202317981,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E018C10C0>,1000,3,0.0273264344512182,0.5826980519913887,0.3575220361990332,2,1300.0,1370.0,1260.0,1380.0,1480.0,1372.5,77.90218225441441,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E018C25F0>,1000,7,0.0197720680283554,0.7689328775593215,0.4258362978600941,3,1240.0,1370.0,1300.0,1320.0,1410.0,1350.0,43.01162633521314,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E018C10C0>,1000,6,0.0434312880021899,0.6469067320777154,0.2874291267602842,1,1270.0,1360.0,1320.0,1340.0,1410.0,1357.5,33.44772040064913,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01878400>,1000,4,0.0046783105485808,0.2687255886372067,0.1061442389624792,5,1110.0,1350.0,1230.0,1280.0,1460.0,1330.0,86.31338250816034,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01878400>,1000,3,0.0015785892806771,0.539206430464453,0.5792973881360561,3,1210.0,1310.0,1270.0,1300.0,1460.0,1335.0,73.65459931328118,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0187BCA0>,1000,6,0.0092283765934447,0.6886786466994173,0.6863356507163088,2,1240.0,1380.0,1310.0,1320.0,1410.0,1355.0,41.53311931459037,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01879930>,1000,5,0.0295262930755965,0.4024041787943661,0.2066753108283852,4,1280.0,1340.0,1310.0,1340.0,1470.0,1365.0,61.84658438426491,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01878A60>,1000,5,0.015298287002505,0.4791689660653068,0.393889562715327,2,1320.0,1360.0,1290.0,1370.0,1450.0,1367.5,56.73402858955109,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC1E6B0>,1000,5,0.0135149931601538,0.3262406812000831,0.4235502427263936,1,1320.0,1370.0,1300.0,1390.0,1470.0,1382.5,60.57020719792859,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC1FF70>,1000,4,0.0030921699663215,0.3206495380684159,0.5037303745055954,1,1310.0,1350.0,1260.0,1320.0,1470.0,1350.0,76.48529270389177,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC1FDC0>,1000,5,0.0075243452603373,0.2326386155787267,0.4423161167408083,1,1320.0,1380.0,1280.0,1380.0,1430.0,1367.5,54.48623679425842,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC1F850>,1000,4,0.0566007847368612,0.4424582328053246,0.3244149327754574,10,1300.0,1390.0,1330.0,1330.0,1400.0,1362.5,32.69174207655505,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0187B880>,1000,6,0.0133015903938788,0.3592315022199052,0.5375278474837866,2,1270.0,1370.0,1310.0,1330.0,1430.0,1360.0,45.8257569495584,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01878CD0>,1000,5,0.0218970823782968,0.3030379581920064,0.0631395561008637,3,1250.0,1330.0,1250.0,1260.0,1460.0,1325.0,83.81527307120105,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0187B850>,1000,3,0.0386353354180061,0.6242880427559094,0.1278695694038785,1,1310.0,1360.0,1270.0,1320.0,1480.0,1357.5,77.5806032459145,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0187BB80>,1000,8,0.0102281089756898,0.1547899646623897,0.4789961251150172,2,1290.0,1380.0,1320.0,1330.0,1410.0,1360.0,36.74234614174768,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02204A90>,1000,4,0.0074250252859295,0.3854330091672927,0.2716853527680901,9,1290.0,1350.0,1230.0,1290.0,1460.0,1332.5,84.96322733983214,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02204580>,1000,5,0.0191547534993825,0.4741872620665192,0.3817147035981702,1,1300.0,1350.0,1320.0,1350.0,1410.0,1357.5,32.69174207655505,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02207610>,1000,5,0.0151471100504006,0.4296883351033041,0.4153054790896587,2,1290.0,1380.0,1290.0,1370.0,1450.0,1372.5,56.73402858955109,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02223490>,1000,5,0.023571012674966,0.5328725615878295,0.3305598514991321,3,1290.0,1390.0,1290.0,1330.0,1440.0,1362.5,57.17298313014636,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02220880>,1000,4,0.0174063616468744,0.7414146279435241,0.3625494182651105,1,1270.0,1400.0,1290.0,1360.0,1470.0,1380.0,65.19202405202648,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02206440>,1000,4,0.0124345069950797,0.7229888429228164,0.1912380712895966,1,1290.0,1320.0,1240.0,1320.0,1430.0,1327.5,67.59252917297887,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02205BD0>,1000,4,0.0185599565626622,0.8318706669332347,0.2345604661464481,1,1310.0,1370.0,1290.0,1340.0,1470.0,1367.5,65.71719714047458,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02205C00>,1000,3,0.0502280215311067,0.6647329242969734,0.3678879819305667,1,1290.0,1360.0,1310.0,1330.0,1440.0,1360.0,49.49747468305833,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01878430>,1000,4,0.0109460551548253,0.7562148834879396,0.2984837109448032,2,1300.0,1370.0,1270.0,1350.0,1440.0,1357.5,60.57020719792859,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E019D4CD0>,1000,7,0.0886942606942527,0.792088825909735,0.412346562164373,1,1270.0,1360.0,1240.0,1320.0,1370.0,1322.5,51.1737237261468,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02207910>,1000,3,0.0142290543733242,0.5684426380053599,0.9945868303663462,4,1280.0,1350.0,1290.0,1370.0,1460.0,1367.5,60.98155458825234,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02207D00>,1000,5,0.0169746233948561,0.7028089366160528,0.4699000667138359,2,1250.0,1370.0,1300.0,1370.0,1450.0,1372.5,53.09190145398826,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02068970>,1000,5,0.0253765911485063,0.3381823105192245,0.3478850480129031,2,1300.0,1380.0,1280.0,1350.0,1480.0,1372.5,71.89401922274203,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02068A30>,1000,6,0.0100910309173328,0.8858064749396786,0.1636718691409236,2,1250.0,1310.0,1240.0,1290.0,1460.0,1325.0,82.00609733428362,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E022072B0>,1000,4,0.017221529556451,0.6692789531412797,0.2634038264489428,6,1290.0,1400.0,1280.0,1350.0,1460.0,1372.5,66.09652033201142,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0187AD70>,1000,5,0.0629222325432066,0.472021111032808,0.5094297948890032,1,1260.0,1330.0,1280.0,1360.0,1420.0,1347.5,50.68283733178323,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02205750>,1000,5,0.0381809894601146,0.5917525706447775,0.3973766492098418,3,1270.0,1370.0,1270.0,1360.0,1400.0,1350.0,48.47679857416329,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E020681F0>,1000,6,0.0123681067310666,0.7387516386249983,0.4474503718594309,2,1290.0,1350.0,1330.0,1350.0,1400.0,1357.5,25.8602010819715,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02069300>,1000,5,0.0154355124361422,0.5152274807649575,0.356258691410275,3,1320.0,1380.0,1290.0,1360.0,1430.0,1365.0,50.24937810560445,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02068850>,1000,3,0.0052867279643871,0.4141734067921437,0.5664792146529075,7,1310.0,1360.0,1230.0,1330.0,1450.0,1342.5,78.54139036202504,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0206AB30>,1000,4,0.0285499713529115,0.7981031847972297,0.3113999024510829,1,1280.0,1370.0,1320.0,1360.0,1450.0,1375.0,47.16990566028302,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0206B850>,1000,6,0.0194643041027322,0.4869164458687526,0.2951189406974576,4,1280.0,1360.0,1310.0,1360.0,1490.0,1380.0,66.70832032063167,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0206B850>,1000,6,0.0223136123958298,0.4935062082376144,0.2787096806437779,5,1290.0,1390.0,1290.0,1350.0,1470.0,1375.0,65.3834841531101,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0206AB30>,1000,6,0.0113186734603033,0.4452075270331651,0.1056369462174041,4,1240.0,1340.0,1300.0,1300.0,1450.0,1347.5,61.39014578904337,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02068EB0>,1000,7,0.0182579467093178,0.7730061067192546,0.2085789924129866,4,1320.0,1360.0,1290.0,1340.0,1460.0,1362.5,61.79603547154137,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0206AEC0>,1000,6,0.0142999314382687,0.4621388127989679,0.3763161629328491,5,1290.0,1370.0,1290.0,1380.0,1450.0,1372.5,56.73402858955109,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0206B280>,1000,5,0.0490756813160065,0.6224349381220434,0.4081585007940961,3,1270.0,1380.0,1290.0,1350.0,1410.0,1357.5,44.37059837324712,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0206A230>,1000,7,0.0091996938166143,0.2665071668508114,0.4859008726158481,1,1300.0,1390.0,1320.0,1340.0,1430.0,1370.0,43.01162633521314,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0206A6E0>,1000,6,0.0079401436674333,0.5623204898295613,0.4367354670626082,2,1300.0,1380.0,1300.0,1370.0,1460.0,1377.5,56.73402858955109,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E020790C0>,1000,6,0.0068714171973734,0.5549846478146578,0.4495558321458129,4,1290.0,1370.0,1310.0,1340.0,1430.0,1362.5,44.37059837324712,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02078250>,1000,6,0.0334456675392038,0.5046569521224856,0.2493286107930903,2,1310.0,1350.0,1310.0,1380.0,1440.0,1370.0,47.43416490252569,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02078670>,1000,6,0.0128495992495485,0.3933625952394309,0.4318896821725699,1,1290.0,1360.0,1320.0,1370.0,1400.0,1362.5,28.613807855649,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02079F60>,1000,6,0.0082940298399453,0.714885990798003,0.3369929921835815,2,1280.0,1350.0,1250.0,1350.0,1460.0,1352.5,74.28828979051814,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0207A350>,1000,5,0.0055381808888523,0.4208012459678962,0.3880632771873599,3,1300.0,1340.0,1270.0,1340.0,1480.0,1357.5,76.28073151196179,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0207A740>,1000,6,0.0206360262464511,0.6053349733459904,0.4950492612067211,1,1270.0,1370.0,1320.0,1340.0,1410.0,1360.0,33.91164991562634,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0207B400>,1000,7,0.0170041495072992,0.5272680753811334,0.4589878858419305,2,1290.0,1380.0,1280.0,1350.0,1410.0,1355.0,48.218253804964775,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0207A920>,1000,5,0.010101297678113,0.8346883066988949,0.3068871506010025,1,1320.0,1380.0,1280.0,1360.0,1470.0,1372.5,67.59252917297887,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0207ACE0>,1000,5,0.0156267540300188,0.6370085552357913,0.4272289105493938,3,1280.0,1380.0,1320.0,1390.0,1430.0,1380.0,39.370039370059054,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0207A1A0>,1000,4,0.0147095466884943,0.6838792676784957,0.530447390586494,3,1260.0,1380.0,1290.0,1350.0,1470.0,1372.5,64.9519052838329,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E02078E20>,1000,8,0.0118027502146951,0.6601557229025306,0.1493866321982296,4,1260.0,1350.0,1250.0,1300.0,1460.0,1340.0,77.78174593052023,"['x100', 'x101', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E013E8790>,1000,5,0.0796945481864393,0.7453942447208348,0.6187255599871848,2,1280.0,1340.0,1260.0,1360.0,1310.0,1317.5,37.66629793329841,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E017ED6C0>,1000,3,0.0013066739238053,0.8728673384861885,0.6210592611560484,8,1240.0,1360.0,1200.0,1300.0,1350.0,1302.5,63.39361166552983,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01F0B9D0>,1000,3,0.0870602087830485,0.8408205087604007,0.2517221551443623,2,1330.0,1390.0,1250.0,1360.0,1370.0,1342.5,54.48623679425842,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01F0C1C0>,1000,4,0.0040596116104843,0.548518610050626,0.4603477677100099,3,1300.0,1360.0,1290.0,1380.0,1400.0,1357.5,41.4578098794425,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC34FD0>,1000,6,0.001901024531987,0.3275374161084572,0.3980437511290071,5,1280.0,1360.0,1300.0,1370.0,1400.0,1357.5,36.31459761583488,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E01F0B730>,1000,7,0.0025081156860452,0.538522716492931,0.6127938404189404,1,1280.0,1370.0,1320.0,1380.0,1460.0,1382.5,50.18714974971183,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0213C1C0>,1000,6,0.0021930485556643,0.1117990133360155,0.9514412603906666,10,1290.0,1370.0,1300.0,1390.0,1420.0,1370.0,44.15880433163923,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC37FA0>,1000,7,0.0040665633135147,0.1427885083060646,0.700021375186549,5,1290.0,1350.0,1290.0,1350.0,1410.0,1350.0,42.42640687119285,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E7DC37FA0>,1000,3,0.0097803370166594,0.0826690950594574,0.9138543819748428,3,1310.0,1410.0,1300.0,1330.0,1400.0,1360.0,46.36809247747852,"['x100', 'x101', 'x102', 'x105']"
<__main__.CatBoostClassifierWithThreshold object at 0x0000027E0213C730>,1000,6,0.0042016720543725,0.5440646201189203,0.5693747653761156,2,1300.0,1350.0,1300.0,1390.0,1410.0,1362.5,42.0565096031518,"['x100', 'x101', 'x102', 'x105']"
